Herb_id,Total_Score,Top_Ingredient_Count,Top_Ingredients,analysis_type
HERB003658,0.0335948725255869,4,"HBIN021608, HBIN027528, HBIN029138, HBIN035055",阳和汤合半夏消瘰丸加减
HERB000225,0.0269533642322885,1,HBIN036036,阳和汤合半夏消瘰丸加减
HERB006950,0.0262883193000138,2,"HBIN014685, HBIN014693",阳和汤合半夏消瘰丸加减
HERB004694,0.0079961609903066,2,"HBIN005527, HBIN021608",阳和汤合半夏消瘰丸加减
HERB006280,0.0064345447817959,2,"HBIN014693, HBIN020903",阳和汤合半夏消瘰丸加减
HERB000330,0.0046250576740654,1,HBIN014693,阳和汤合半夏消瘰丸加减
HERB001779,0.0043537052283461,1,HBIN016994,阳和汤合半夏消瘰丸加减
