Gene Symbol
BRCA2
BRCA1
ATM
TP53
RET
MSH6
APC
MSH2
MLH1
PALB2
PTEN
CHEK2
CDH1
BRAF
BRIP1
PMS2
DICER1
EGFR
BARD1
KRAS
NF1
TG
PIK3CA
THRB
C11orf65
POLD1
HRAS
POLE
TSHR
AXIN2
MET
CDKN2A
NKX2-1
ALK
TPO
TSC2
STK11
RAD50
AKT1
MUTYH
NBN
NRAS
KIT
LOC126862571
PTCH1
SMAD4
SMARCA4
MEN1
PAX8
RAD51D
RB1
MSH3
BAP1
RAD51C
ERBB2
BLM
H19
TERT
CTNNB1
CDKN1B
EPCAM
BMPR1A
TSC1
SDHA
VHL
MRE11
PRKAR1A
PDGFRA
SDHB
SLC5A5
RAD51L3-RFFL
FLCN
ESR1
CDK4
PVT1
THRA
MALAT1
FOXE1
GAS5
NTRK1
FH
CCND1
FANCC
MEG3
SDHD
DUOX2
CTNNA1
HOTAIR
AR
MIR146B
SDHC
GNAS
MIR221
CDC73
MYC
TSHB
FGFR2
UCA1
MIR21
ATR
LRRC56
PPARG
MIR222
NEAT1
MIR146A
NTHL1
MIR155
CTLA4
LINC-ROR
STAT3
HOXB13
FGFR3
LZTR1
CASC2
NF2
MTOR
MIR17
HULC
MDM2
MLH3
SFTA3
CDKN2B-AS1
TGFBR2
SMARCB1
WRN
FGFR1
HOTTIP
RUNX1
MIR181A1
POT1
TMEM127
XRCC2
BANCR
SRC
CCAT1
SDHAF2
SUFU
MIR15A
MAP2K1
CDKN1A
FAS
ERBB3
NOTCH1
BCL2
CASP8
SLC26A4
MIR125A
MIR30A
MIR34C
XIST
EP300
AIP
ERCC2
MIR145
TUG1
RAD51
HIF1A
GREM1
PMS1
FANCM
TGFB1
MAPK1
AOPEP
ARID1A
PTCSC3
NTRK3
PIK3R1
RECQL4
IL1B
HABP2
MIR193A
VEGFA
MAX
FASLG
RAF1
BUB1B
ERBB4
BAX
MIR18A
IDH1
WT1
PTCSC2
MIR19A
MIR143
MIR31
EZH2
MIR34A
TNF
AFAP1-AS1
IL6
CCAT2
CRNDE
CHEK1
FBXW7
CD274
MIR126
CDKN2B
HAGLR
ESR2
PCAT1
PAX8-AS1
SNHG12
NFE2L2
MIR195
MIR214
MIR181A2
FANCD2
MIR205
MIR182
IYD
MUC16
KRT19
IGF1
MIR200C
IL2
MIRLET7C
MIR20A
STAT1
MIR181C
ERCC5
DUOXA2
MIR138-1
KDR
PIK3CG
FALEC
RNF43
PHOX2B
CCNE1
FANCA
CXCR4
MIR223
SLC16A2
MIR141
KMT2D
MIR183
IFNG
CREBBP
EGF
MIR27A
MIR106A
IGF1R
MIR210
GALNT12
SMO
MIR150
AURKA
JUN
SRGAP1
MUC1
PANDAR
LNCRNA-ATB
DHFR
MIR99A
MIR197
MIR127
IGF2
NFKB1
KLLN
MIR148A
PTPN11
MIR199A1
MIR200A
IL10
IL1RN
RASSF1
GATA2
XRCC3
MIR200B
