Gene Symbol
MSH6
MSH2
MLH1
RET
PMS2
TG
THRB
BRAF
TP53
TPO
TSHR
NKX2-1
PTEN
PAX8
KRAS
HRAS
PIK3CA
NRAS
AKT1
SLC5A5
THRA
FOXE1
DUOX2
TERT
APC
EGFR
TSHB
H19
MEN1
KIT
CDKN2A
DICER1
BRCA2
NTRK1
CTNNB1
GNAS
ATM
PRKAR1A
MALAT1
EPCAM
BRCA1
CDH1
CTLA4
PVT1
CDKN1B
ERBB2
SLC26A4
MIR146B
CHEK2
SFTA3
VHL
GAS5
HOTAIR
MET
CCND1
ALK
MEG3
MIR221
NF1
MIR222
LRRC56
NEAT1
SDHB
PPARG
STAT3
ESR1
MIR155
SMAD4
SDHD
STK11
FGFR1
BCL2
MIR146A
PTCH1
PTCSC3
PDGFRA
MIR21
MYC
IYD
MUTYH
SDHC
CDKN1A
MIR17
MIR181A1
WRN
LINC-ROR
MDM2
DUOXA2
RB1
BANCR
TSC2
MIR15A
SLC16A2
PTCSC2
JAK2
MTOR
HULC
CALCA
PALB2
CDC73
CDKN2B-AS1
CDK4
HABP2
FAS
UCA1
PAX8-AS1
NTRK3
AR
TSC1
SRC
HOTTIP
DDX41
NOTCH1
NBN
SDHA
MAP2K1
FGFR2
ETV6
SMARCB1
IDH1
BAP1
SMARCA4
IL6
BARD1
FGFR3
VEGFA
DIO1
TGFBR2
FH
KRT7
NF2
MIR34C
IGF1
BMPR1A
KRT19
CASC2
MIR30A
MUC1
STAT1
MIR19A
CDKN2B
WT1
TGFB1
FLCN
POLE
HIF1A
EZH2
SECISBP2
MIR18A
MIR125A
NKX2-5
CRNDE
ESR2
CASP8
MAPK1
CXCR4
RAF1
PDGFRB
HAGLR
MIR181A2
FASLG
IFNG
MIR193A
TNF
AFAP1-AS1
CD274
SNHG12
SRGAP1
POLD1
ARID1A
DIO2
MIR145
PTCSC1
ERBB3
CREBBP
EP300
SERPINA7
MIR138-1
LGALS3
PTPN11
MIR181C
BAX
XIST
PMS1
IDH2
IGF1R
PCM1
TUG1
ASXL1
BRIP1
LOC126806630
IL10
KRT20
NCOA4
SST
GAS8-AS1
IL1B
KDR
RAD51C
KMT2D
PIK3R1
LNCRNA-ATB
TP63
MIR197
PANDAR
BLM
CCDC6
