ADA,POTEF
ADA,CER1
ADA,MPI
ADA,ACP1
ADA,PIAS2
ADA,ADORA1
ADA,APRT
ADA,SERPINB5
ADA,ATXN2
ADA,SGCD
ADA,ATXN2L
ADA,TINF2
ADA,TERF2IP
ADA,DPP4
POTEF,HSPBP1
POTEF,LPGAT1
POTEF,MAGEA10
POTEF,UROD
POTEF,LMX1B
POTEF,RPS27
POTEF,ATP6V1G2
POTEF,SUN2
POTEF,KANSL3
POTEF,IGF2
POTEF,INSL6
POTEF,DUSP22
POTEF,ABITRAM
POTEF,HLA-DQB2
POTEF,TSHR
POTEF,HLA-DPA1
POTEF,MAS1
POTEF,CER1
POTEF,PRSS2
POTEF,NUBP2
POTEF,LRRC25
POTEF,RIMS3
POTEF,CACNG3
POTEF,AKR1B10
POTEF,TYW5
POTEF,CELA3A
POTEF,FCN1
POTEF,ANTXR1
POTEF,BTN2A1
POTEF,TRIB2
POTEF,TRIM69
POTEF,SERTAD4
POTEF,AHSG
POTEF,A4GNT
POTEF,P2RY10
POTEF,DMC1
POTEF,ST8SIA1
POTEF,AGO2
POTEF,CSNK1E
POTEF,ARFGAP1
POTEF,TMCO3
POTEF,TUBB
POTEF,GALK2
POTEF,TKT
POTEF,USH1G
POTEF,NAAA
POTEF,HSFY1
POTEF,WNT5A
POTEF,CCNJ
POTEF,NYX
POTEF,CATSPER4
POTEF,NMD3
POTEF,CNDP1
POTEF,IGHG1
POTEF,DYRK2
POTEF,SNX16
POTEF,MTM1
POTEF,SEC16B
POTEF,TNIP1
POTEF,THEMIS
POTEF,FAM24B
POTEF,LCN15
POTEF,RNASE13
POTEF,CD80
POTEF,POTEC
POTEF,BPNT1
POTEF,FURIN
POTEF,GNG8
POTEF,HGFAC
POTEF,MCOLN2
POTEF,ADGRE5
POTEF,PCDHB3
POTEF,ORAI1
POTEF,LPAR4
POTEF,SENP3
POTEF,CHST7
POTEF,PLXNC1
POTEF,DOC2B
POTEF,TUBB8
POTEF,GPR88
POTEF,UGT2B28
POTEF,ANGPT4
POTEF,LY6G5B
POTEF,ABCA10
POTEF,PCNX1
POTEF,ALS2CL
POTEF,BNC1
POTEF,POTEG
POTEF,LLCFC1
POTEF,EMC1
POTEF,HSD17B7P2
POTEF,NEUROG1
POTEF,IGHD
POTEF,NEUROD4
POTEF,AAR2
POTEF,GSN
POTEF,SCIN
POTEF,HACE1
POTEF,PTP4A3
POTEF,BRICD5
POTEF,CCBE1
POTEF,SLC25A40
POTEF,TUBB4B
POTEF,OR13C3
POTEF,PIK3IP1
POTEF,SFTPA2
POTEF,FBXL16
POTEF,GML
POTEF,COLQ
POTEF,FOXF2
POTEF,IKZF1
POTEF,MYCBP
POTEF,ATP6V1B1
POTEF,EIF4E
POTEF,TUBB2B
POTEF,SLAIN2
POTEF,PDCL3
POTEF,CD93
POTEF,MRPS31
POTEF,OSGEP
POTEF,COPS3
POTEF,IL5RA
POTEF,TWF2
POTEF,PYCR1
POTEF,CAP2
POTEF,FCHO1
POTEF,BTNL2
POTEF,ADRM1
POTEF,STRIP2
POTEF,ALPG
POTEF,NAT9
POTEF,CTSK
POTEF,PBDC1
POTEF,WRAP53
POTEF,BCL2L14
POTEF,TTI1
POTEF,PROK2
POTEF,C3orf14
POTEF,HDDC3
POTEF,LOC254896
POTEF,IL17F
POTEF,LCN6
POTEF,SAT2
POTEF,SPTLC3
POTEF,TMEM87A
POTEF,NCR3
POTEF,LYPD4
POTEF,IL25
POTEF,LYZL2
POTEF,DNAJB9
POTEF,GGT1
POTEF,CFC1
POTEF,GID8
POTEF,EDN3
POTEF,ATPSCKMT
POTEF,IGLL5
POTEF,TSPAN8
POTEF,KDELR3
POTEF,RFPL4B
POTEF,ZNF346
POTEF,CD48
POTEF,AKR1A1
POTEF,GLUL
POTEF,ASPH
POTEF,CXorf38
POTEF,EMID1
POTEF,ADH5
POTEF,VSTM2A
POTEF,ALG2
POTEF,PLAU
POTEF,TUBB3
POTEF,ATP6V1C2
POTEF,GC
POTEF,ACTBL2
POTEF,MAPK13
POTEF,ASB14
POTEF,TFAP2A
BEND7,RPL13
BEND7,RBBP4
BEND7,RPL36
BEND7,RPL4
BEND7,RPS3
BEND7,C1QBP
BEND7,LRP4
BEND7,KPNA1
BEND7,SRSF5
BEND7,PRKRA
BEND7,ADARB1
BEND7,ZBTB47
BEND7,MBD3L1
BEND7,PSMB1
BEND7,LNX1
BEND7,GEMIN2
BEND7,WHRN
BEND7,L3MBTL2
BEND7,CSNK2A1
BEND7,NUTF2
BEND7,GYS1
BEND7,CDC37
BEND7,TNPO2
BEND7,PBLD
BEND7,MLX
BEND7,MAGOHB
BEND7,RPL22
BEND7,NEK6
BEND7,POLR3GL
BEND7,BANF2
BEND7,GADD45G
