·½1-9,·½1-9É¾ÖØºó106,,·½1-9É¾ÖØºó83,,,pubmed¼ìË÷(thyroid cancer) AND (naphthalene),·½1-9É¾ÖØºó14¸öºËÐÄÐ¡·Ö×Ó,,,source_fang,fang1,fang2,fang3,fang4,fang5,fang6,fang7,fang8,fang9
HBIN040811,HBIN040811,Prolinum,HBIN019690,capsaicin,À±½·ËØ,,,,,,HBIN040811,,HBIN020653,HERB005022,HBIN040908,,HBIN020406,,
HERB000887,HERB000887,#N/A,HBIN018100,¦Âetaine,Ìð²Ë¼î,0,,,,,HERB000887,,HBIN021985,HBIN026067,HBIN017024,,HBIN038680,,
HBIN033339,HBIN033339,linolenic acid,HBIN017246,astramembrannin i,»ÆÜÎ¼×ÜÕ,0,,,,,HBIN033339,,HERB000309,HBIN020653,,,HBIN018278,,
HBIN041903,HBIN041903,raffinose,HBIN019425,calycosin,Ã«ÈïÒì»ÆÍª,,,,,,HBIN041903,,HBIN022577,HBIN018163,,,HBIN026067,,
HBIN030896,HBIN030896,isoliquiritigenin,HBIN026067,eugenol,¶¡Ïã·Ó,,,,,,HBIN030896,,HBIN018163,HBIN022577,,,HBIN033609,,
HBIN020406,HBIN020406,choline,HBIN021608,coumarin,Ïã¶¹ËØ,,,,,,HBIN020406,,HBIN016571,HBIN016571,,,HBIN044060,,
HBIN019690,HBIN019690,capsaicin,HBIN020653,cinnamaldehyde,Èâ¹ðÈ©,0,,,,,,,HBIN037272,HBIN037272,,,HBIN010510,,
HBIN014685,HERB002560,#N/A,HBIN022577,daidzein,´ó¶¹»ÆÍª,,,,,,,,HBIN027764,HBIN027764,,,HBIN012818,,
HERB002560,HBIN018100,¦Âetaine,HBIN018163,betaine,Ìð²Ë¼î,0,,,,,,,HBIN040811,HERB000309,,,HERB001779,,
HBIN018100,HBIN017246,astramembrannin i,HBIN037272,nonyl vanillylamide,Ïã²ÝÈÉõ£°·,0,,,,,,,HERB004694,HBIN040811,,,HBIN045944,,
HBIN017246,HBIN019425,calycosin,HBIN019762,carotene,ºúÂÜ²·ËØ,,,,,,,,HBIN008361,,,,HBIN030532,,
HERB001210,HBIN026067,eugenol,HBIN021986,curcumine,½ª»ÆËØ,0,,,,,,,HBIN033339,,,,,,
HBIN021985,HBIN021608,coumarin,HBIN041495,quercetin,éÎÆ¤ËØ,,,,,,,,,,,,,,
HBIN014399,HBIN020653,cinnamaldehyde,HBIN038387,osthol,Éß´²×ÓËØ,0,,,,,,,,,,,,,
HBIN019425,HBIN022577,daidzein,HBIN038388,osthole,Éß´²×ÓËØ,0,,,,,,,,,,,,,
HBIN045073,HBIN018163,betaine,HBIN004214,"2',4',4-trihydroxychalcone",Òì¸Ê²ÝËØ,0,,,,,,,,,,,,,
HBIN034423,HBIN037272,nonyl vanillylamide,HBIN036905,nicotine,Äá¹Å¶¡,0,,,,,,,,,,,,,
HERB004609,HERB004694,#N/A,HBIN045028,styrene,±½ÒÒÏ©,0,,,,,,,,,,,,,
HBIN046831,HERB000638,#N/A,HBIN042852,salicylic acid,Ë®ÑîËá,0,,,,,,,,,,,,,
HBIN019690,HBIN019762,carotene,HBIN047613,ursolic acid,ÐÜ¹ûËá,,,,,,,,,,,,,,
HBIN019691,HERB005022,#N/A,HBIN019786,carvacrol,ÏãÇÛ·Ó,0,,,,,,,,,,,,,
HBIN042172,HERB004938,#N/A,HBIN028076,GLY,¸Ê°±Ëá,0,,,,,,,,,,,,,
HBIN014685,HERB004950,#N/A,HBIN036162,myristicin,Èâ¶¹Þ¢ÃÑ,0,,,,,,,,,,,,,
HBIN020984,HBIN021986,curcumine,HBIN040908,protocatechuic acid,Ô­¶ù²èËá,0,,,,,,,,,,,,,
HBIN014693,HBIN041495,quercetin,HBIN017024,asaricin,Ï¸ÐÁÃÑ,0,,,,,,,,,,,,,
HERB002560,HERB002483,#N/A,HBIN045516,Tar,ÑÌ¼î,0,,,,,,,,,,,,,
HBIN018100,HBIN038387,osthol,HBIN002554,"1H,3H-Pyrano(3,4-c)pyran-1-one, 5-ethenyl-6-(beta-D-glucopyranosyloxy)-4,4a,5,6-tetrahydro-, (4aS-(4aalpha,5beta,6alpha))-",â¯ÑÀ²Ë¿àËØ,0,,,,,,,,,,,,,
HBIN027747,HBIN038388,osthole,HBIN045176,Sweroside aglycone,,0,,,,,,,,,,,,,
HBIN017246,HBIN004214,"2',4',4-trihydroxychalcone",HBIN038026,oleic acid,ÓÍËá,0,,,,,,,,,,,,,
HBIN034357,HBIN036905,nicotine,HBIN028769,hancinone C,É½ÉXËØ,0,,,,,,,,,,,,,
HERB001749,HBIN045028,styrene,HBIN020260,Cheilanthifoline,ËéÒ¶×ÏÝÀ¼î,0,,,,,,,,,,,,,
HBIN045073,HERB004013,#N/A,HBIN026843,furaldehyde,¿·È©,0,,,,,,,,,,,,,
HBIN019425,HBIN042852,salicylic acid,HBIN036036,mustard oil,½æ×ÓÓÍ,0,,,,,,,,,,,,,
HBIN042111,HBIN047613,ursolic acid,HBIN027528,geraniol,ÏãÒ¶´¼,0,,,,,,,,,,,,,
HBIN014399,HBIN019786,carvacrol,HBIN035055,methyl-7-epiganoderate,,0,,,,,,,,,,,,,
HBIN003948,HBIN028076,GLY,HBIN020908,cis-palmitoleic acid,Ë³Ê½×ØéµÏ©Ëá,0,,,,,,,,,,,,,
HERB001210,HBIN036162,myristicin,HBIN046523,toluene,¼×±½,,,,,,,,,,,,,,
HBIN026067,HBIN040908,protocatechuic acid,HBIN020903,cis-oleic acid,Ë³Ê½ÓÍËá,0,,,,,,,,,,,,,
HBIN021608,HBIN017024,asaricin,HBIN026609,FMT,,0,,,,,,,,,,,,,
HBIN020653,HBIN045516,Tar,HBIN044676,(s)-serine,#NAME?,,,,,,,,,,,,,,
HBIN021985,HBIN002554,"1H,3H-Pyrano(3,4-c)pyran-1-one, 5-ethenyl-6-(beta-D-glucopyranosyloxy)-4,4a,5,6-tetrahydro-, (4aS-(4aalpha,5beta,6alpha))-",HBIN045032,(s)-tyrosine,ÀÒ°±Ëá,,,,,,,,,,,,,,
HERB000309,HBIN045176,Sweroside aglycone,HBIN022584,DAL,,0,,,,,,,,,,,,,
HBIN022577,HBIN038026,oleic acid,HBIN019111,butylated hydroxytoluene,¶¡ôÇ¼×±½,,,,,,,,,,,,,,
HBIN018163,HBIN028769,hancinone C,HBIN038680,palmitic acid,×ØéµËá,,,,,,,,,,,,,,
HBIN016571,HBIN020260,Cheilanthifoline,HBIN018278,beta-sitosterol,¦Â-¹ÈçÞ´¼,,,,,,,,,,,,,,
HBIN037272,HBIN026843,furaldehyde,HBIN033609,L-Serin,L-Ë¿°±Ëá,0,,,,,,,,,,,,,
HBIN027764,HBIN036036,mustard oil,HBIN044060,Sinapaldehyde,½æ×ÓÈ©,0,,,,,,,,,,,,,
HBIN040811,HBIN027528,geraniol,HBIN010510,4-hydroxybenzoylcholine,4-ôÇ»ù±½¼×õ£µ¨¼î,0,,,,,,,,,,,,,
HERB004694,HERB003658,#N/A,HBIN012818,6-shogaol,½ªÏ©·Ó,0,,,,,,,,,,,,,
