Ingredient_id,Target_name
HBIN002911,PTGS2
HBIN002911,DPEP1
HBIN003405,ESR1
HBIN003405,NR3C2
HBIN003405,AR
HBIN005867,NOS2
HBIN005867,ACHE
HBIN005867,DPP4
HBIN005867,PRSS1
HBIN005867,NCOA2
HBIN005867,PPARG
HBIN005867,PLA2G1B
HBIN005867,PLB1
HBIN005867,PTGS1
HBIN005867,IGHG1
HBIN006367,AR
HBIN006367,NR3C1
HBIN008225,AR
HBIN008225,NR3C1
HBIN014684,CDK2
HBIN014684,AHCYL1
HBIN014684,PNP
HBIN015117,MAPK14
HBIN015117,PYGM
HBIN015117,PPARG
HBIN015117,CDK2
HBIN015117,PTGS2
HBIN015117,AR
HBIN015117,CA2
HBIN015117,PIM1
HBIN015117,DPEP1
HBIN015117,NCOA2
HBIN015117,NOS2
HBIN015117,DPP4
HBIN015117,PRSS1
HBIN015117,PRSS3
HBIN015117,GSK3B
HBIN015117,ESR1
HBIN015117,CCNA2
HBIN015117,LYZ
HBIN015117,PGR
HBIN015117,ACHE
HBIN015117,NR3C2
HBIN015117,NR3C1
HBIN015117,NCOA1
HBIN015117,PTGS1
HBIN015117,ESR2
HBIN017968,CDK2
HBIN017968,MAOB
HBIN017968,MAOA
HBIN017968,ACHE
HBIN017968,DPP4
HBIN017968,CTRB1
HBIN017968,PTGS2
HBIN017968,NOS2
HBIN017968,DPEP1
HBIN017968,PTGS1
HBIN017968,PRSS1
HBIN017968,CA2
HBIN017968,LYZ
HBIN017968,AR
HBIN018094,CHRM3
HBIN018094,ACHE
HBIN018094,GABRA1
HBIN018094,DPP4
HBIN018094,PTGS2
HBIN018094,ADRA1D
HBIN018094,CDK1
HBIN018094,DPEP1
HBIN018094,NCOA2
HBIN018094,SLC6A2
HBIN018094,CHRM2
HBIN018094,CHRNA7
HBIN018094,ESR1
HBIN018094,RXRA
HBIN018094,PTGS1
HBIN018094,PRSS1
HBIN018094,CHRM1
HBIN018094,CA2
HBIN018094,TP53
HBIN018094,TEP1
HBIN018094,RB1
HBIN018094,POLD1
HBIN018094,EIF6
HBIN018094,CDKN1A
HBIN018094,CCNB1
HBIN018094,RUNX1T1
HBIN018094,BCL2
HBIN018094,RHOA
HBIN018129,AMY2A
HBIN019688,PRSS3
HBIN019688,PLA2G1B
HBIN019688,PRSS1
HBIN019688,RBP2
HBIN019688,PPARA
HBIN019688,CXCL8
HBIN019688,FABP1
HBIN019688,EP300
HBIN019691,OCLN
HBIN019691,PRSS46P
HBIN019691,CTRB2
HBIN019691,PRSS57
HBIN019691,TMPRSS11F
HBIN019691,SUMO4
HBIN019691,PRSS45P
HBIN019691,TMPRSS9
HBIN019691,PRSS48
HBIN019691,TMPRSS7
HBIN019691,OVCH1
HBIN019691,TMPRSS11A
HBIN019691,PRSS42P
HBIN019691,PRSS38
HBIN019691,PRSS53
HBIN019691,KLK9
HBIN019691,TMPRSS12
HBIN019691,PRSS33
HBIN019691,PRSS54
HBIN019691,PRSS55
HBIN019691,TMPRSS6
HBIN019691,TRPV3
HBIN019691,PRSS40A
HBIN019691,PRSS36
HBIN019691,PRSS58
HBIN019691,PRSS37
HBIN019691,TMPRSS11B
HBIN019691,BIRC8
HBIN019691,TMPRSS13
HBIN019691,PRSS27
HBIN019691,TMPRSS5
HBIN019691,COL18A1
HBIN019691,TMPRSS3
HBIN019691,PRSS22
HBIN019691,CELA2A
HBIN019691,TRPV4
HBIN019691,PCTP
HBIN019691,TMPRSS4
HBIN019691,TRPV5
HBIN019691,KLK15
HBIN019691,TRPV6
HBIN019691,TYW1
HBIN019691,BANP
HBIN019691,TRPV2
HBIN019691,C1RL
HBIN019691,GAL
HBIN019691,CELA2B
HBIN019691,NOX3
HBIN019691,KLK12
HBIN019691,KLK14
HBIN019691,PRSS50
HBIN019691,TMPRSS11E
HBIN019691,NDOR1
HBIN019691,KLK13
HBIN019691,TPSG1
HBIN019691,KLK5
HBIN019691,CELA3B
HBIN019691,TPSD1
HBIN019691,SIRT1
HBIN019691,CTRC
HBIN019691,KLK8
HBIN019691,CHEK2
HBIN019691,KLK11
HBIN019691,PRSS21
HBIN019691,MASP2
HBIN019691,CORIN
HBIN019691,ENOX2
HBIN019691,CELA3A
HBIN019691,BCLAF1
HBIN019691,KLK4
HBIN019691,TRAF4
HBIN019691,PRDX6
HBIN019691,BAG3
HBIN019691,GDF15
HBIN019691,ATG5
HBIN019691,TMPRSS11D
HBIN019691,COX5A
HBIN019691,PROZ
HBIN019691,CFLAR
HBIN019691,TNFRSF10A
HBIN019691,TNFRSF10B
HBIN019691,RIPK2
HBIN019691,TNFSF10
HBIN019691,TNFRSF25
HBIN019691,PRSS12
HBIN019691,WNT5A
HBIN019691,TRPV1
HBIN019691,VEGFA
HBIN019691,VCAM1
HBIN019691,UCP1
HBIN019691,TRAF3
HBIN019691,HSP90B1
HBIN019691,TPSAB1
HBIN019691,TPI1
HBIN019691,TP53
HBIN019691,TNFRSF1A
HBIN019691,TNF
HBIN019691,TMPRSS2
HBIN019691,TM7SF2
HBIN019691,TIMP3
HBIN019691,TIMP1
HBIN019691,TGFB1
HBIN019691,TEK
HBIN019691,MAP3K7
HBIN019691,TACR1
HBIN019691,TAC1
HBIN019691,STAT3
HBIN019691,STAT1
HBIN019691,ST14
HBIN019691,SRC
HBIN019691,SNCA
HBIN019691,SLC12A2
HBIN019691,SLC6A3
HBIN019691,SCP2
HBIN019691,MSMO1
HBIN019691,S100A4
HBIN019691,RXRB
HBIN019691,RXRA
HBIN019691,RPS6KA3
HBIN019691,PTGS2
HBIN019691,PTGS1
HBIN019691,PRTN3
HBIN019691,KLK10
HBIN019691,KLK6
HBIN019691,PRSS8
HBIN019691,TMPRSS15
HBIN019691,KLK7
HBIN019691,MASP1
HBIN019691,PRSS3
HBIN019691,PRSS1
HBIN019691,PROC
HBIN019691,MAP2K1
HBIN019691,MAPK9
HBIN019691,MAPK8
HBIN019691,MAPK3
HBIN019691,MAPK1
HBIN019691,PRKDC
HBIN019691,PRKCD
HBIN019691,PRKCA
HBIN019691,PPARG
HBIN019691,PPARD
HBIN019691,PPARA
HBIN019691,POR
HBIN019691,POMC
HBIN019691,PLG
HBIN019691,PLAUR
HBIN019691,PLAU
HBIN019691,PLAT
HBIN019691,PKM
HBIN019691,ABCB1
HBIN019691,PGM1
HBIN019691,SERPINE1
HBIN019691,NPC1
HBIN019691,NOS3
HBIN019691,NOS2
HBIN019691,NOS1
HBIN019691,MYC
HBIN019691,MTRR
HBIN019691,MST1
HBIN019691,MMP9
HBIN019691,MMP1
HBIN019691,MCL1
HBIN019691,MAP2
HBIN019691,LTF
HBIN019691,LPA
HBIN019691,LGALS1
HBIN019691,KLKB1
HBIN019691,KLK2
HBIN019691,KLK1
HBIN019691,JUN
HBIN019691,JAK1
HBIN019691,IL12B
HBIN019691,CXCL8
HBIN019691,IL6
HBIN019691,IL2
HBIN019691,IGFBP1
HBIN019691,IGF1R
HBIN019691,IGF1
HBIN019691,CFI
HBIN019691,HSPA5
HBIN019691,HRAS
HBIN019691,HPR
HBIN019691,HPN
HBIN019691,HP
HBIN019691,FOXA1
HBIN019691,HMOX1
HBIN019691,HIF1A
HBIN019691,HGFAC
HBIN019691,HGF
HBIN019691,HABP2
HBIN019691,GZMM
HBIN019691,GZMK
HBIN019691,GZMB
HBIN019691,GZMA
HBIN019691,GZMH
HBIN019691,GLUD1
HBIN019691,GFAP
HBIN019691,GCG
HBIN019691,GAPDH
HBIN019691,GAST
HBIN019691,FOS
HBIN019691,FASN
HBIN019691,ACSL3
HBIN019691,FABP5
HBIN019691,FABP4
HBIN019691,F12
HBIN019691,F11
HBIN019691,F10
HBIN019691,F9
HBIN019691,F7
HBIN019691,F2
HBIN019691,ERN1
HBIN019691,ERBB2
HBIN019691,ELANE
HBIN019691,CELA1
HBIN019691,EGFR
HBIN019691,EDN1
HBIN019691,E2F4
HBIN019691,E2F1
HBIN019691,NQO1
HBIN019691,DFFA
HBIN019691,CFD
HBIN019691,DDIT3
HBIN019691,GADD45A
HBIN019691,CYP3A4
HBIN019691,CYP2D6
HBIN019691,CYP2C9
HBIN019691,CYP2C19
HBIN019691,CYP1A2
HBIN019691,CTSG
HBIN019691,CTRL
HBIN019691,CTRB1
HBIN019691,CPT1A
HBIN019691,CMA1
HBIN019691,CFL1
HBIN019691,CDKN1B
HBIN019691,CDKN1A
HBIN019691,CDK2
HBIN019691,CCNB1
HBIN019691,CCNA2
HBIN019691,CCK
HBIN019691,CBS
HBIN019691,CASP9
