"NodeNames","Score"
"HBIN034423",0.0593171001506665
"HERB004609",0.0119877571249605
"HBIN046831",0.00630463134965731
"HBIN019690",0.00496808998860336
"HBIN019691",0.00433967087179522
"HBIN042172",0.00400154809315871
"HBIN014685",0.00354437290257368
"HBIN020984",0.00254670776790421
"HBIN014693",0.0021844645434415
"HERB000638",0.00153345909656834
"HBIN018100",0.00138312087761152
"HERB002560",0.0013774148592547
"HBIN027747",0.00130120554053515
"HBIN017246",0.00127074248473088
"HBIN034357",0.000792714605755004
"HBIN019425",0.000565658120684993
"HBIN045073",0.000523918049505656
"HBIN042111",0.000440632800318962
"HERB001210",0.000354443722567485
"HBIN014399",0.000341049657587217
"HBIN019762",0.000337294737026676
"HBIN021608",0.000328812536210446
"HBIN021985",0.000322130649901417
"HERB005022",0.000318204558194073
"HBIN026067",0.000297164492513293
"HBIN020653",0.000279715019490736
"HBIN018163",0.000270635904682133
"HBIN022577",0.000266558645177978
"HBIN016571",0.000246356307061524
"HBIN037272",0.000237855607737447
"HBIN027764",0.000233461123130307
"HERB000309",0.000231014366781796
"HBIN040811",0.00022790557535302
"HBIN033339",0.000192926862489208
"HBIN021260",0.000190282663393241
"HBIN027528",0.000180589112651449
"HBIN008361",0.000180228223151661
"HBIN041903",0.000178867810128379
"HBIN036795",0.000156519416072902
"HBIN037187",0.000153869848525656
"HBIN048047",0.00015284952913214
"HBIN028076",0.000141879249387857
"HBIN042307",0.00013206008785715
"HBIN002095",0.000130041245396922
"HBIN020406",0.000127429188831906
"HBIN013366",0.000115585595440495
"HBIN030896",0.000115547582812547
"HBIN024936",0.000114532084810864
"HBIN026733",0.000108064343132133
"HBIN041495",0.000107001730692432
"HERB000775",0.000106753520364473
"HBIN045469",0.000101458621485039
"HBIN016505",9.64437735771522e-05
"HBIN023366",9.55338592270838e-05
"HBIN038749",9.32006753687063e-05
"HBIN027927",8.98708626812388e-05
"HBIN034596",8.88551513919878e-05
"HBIN039001",8.88551513919878e-05
"HBIN017056",8.83170039206537e-05
"HBIN028550",8.70826818950119e-05
"HBIN036162",8.00233176055437e-05
"HBIN027746",7.81121931495108e-05
"HBIN039170",7.36071602368216e-05
"HBIN024973",7.35469630093136e-05
"HBIN045062",7.24297167434916e-05
"HBIN038026",6.70828587015573e-05
"HBIN023509",6.63303885612465e-05
"HBIN041332",6.52369565227292e-05
"HBIN023972",6.47540211347786e-05
"HBIN018403",6.25737339171927e-05
"HBIN026662",6.17811454275285e-05
"HBIN041253",6.07686138983041e-05
"HBIN025288",6.02479674791588e-05
"HBIN037171",5.87280306289916e-05
"HBIN025287",5.32081068025467e-05
"HBIN031753",5.23674210233808e-05
"HBIN033751",5.17067814190582e-05
"HBIN028048",5.01141444401e-05
"HBIN013410",4.88391708488836e-05
"HBIN041916",4.71620307309497e-05
"HBIN034569",4.46344144144639e-05
"HBIN042852",4.43817403025714e-05
"HBIN019786",4.18550016352961e-05
"HBIN018278",4.14953249503641e-05
"HBIN025796",4.13618039724461e-05
"HBIN038680",4.06685920063593e-05
"HBIN018006",4.0216195644242e-05
"HBIN016087",3.91487510833641e-05
"HBIN046387",3.4592298685817e-05
"HBIN029149",3.37044441961661e-05
"HBIN038627",3.35227086917302e-05
"HBIN028546",3.34099417488456e-05
"HBIN036907",3.2974258672269e-05
"HBIN018094",3.29296845516603e-05
"HERB006990",3.2295756447079e-05
"HBIN003405",3.21807032901778e-05
"HBIN044918",3.19289586975351e-05
"HBIN047579",3.18707599481814e-05
"HBIN014684",3.17366560886636e-05
"HBIN015117",3.16354286450109e-05
"HBIN018535",3.03731902368831e-05
"HBIN026829",3.01870946778971e-05
"HBIN030133",3.00675866940709e-05
"HBIN027751",2.94041985898307e-05
"HBIN022815",2.85830141296508e-05
"HBIN035597",2.84861274266542e-05
"HBIN035353",2.84628164238056e-05
"HBIN018012",2.84090781163998e-05
"HBIN037485",2.82264117980184e-05
"HBIN014104",2.77556273481961e-05
"HBIN045071",2.76659800008916e-05
"HBIN039150",2.75868211969352e-05
"HBIN015547",2.74695747475495e-05
"HBIN018148",2.73731794022487e-05
"HBIN016080",2.7250754005819e-05
"HBIN015613",2.72223292068061e-05
"HBIN018263",2.71507598542081e-05
"HBIN046033",2.6805662026928e-05
"HBIN033330",2.66344027399205e-05
"HBIN015533",2.65055970337238e-05
"HBIN026800",2.63673145519207e-05
"HBIN045820",2.63015889495448e-05
"HBIN027809",2.62723612251985e-05
"HBIN045672",2.62285451732464e-05
"HBIN037562",2.61419884871087e-05
"HBIN034752",2.58290514457192e-05
"HBIN023204",2.5789053187892e-05
"HBIN024976",2.57344777103241e-05
"HBIN036366",2.5650707855842e-05
"HBIN047030",2.54632180214499e-05
"HBIN015668",2.52353266108664e-05
"HBIN010095",2.5143754453138e-05
"HBIN029074",2.51342467128445e-05
