"NodeNames","Score"
"HBIN014685",0.00367416367358129
"HBIN047613",0.00205309029864132
"HBIN045516",0.00199963923138908
"HERB004950",0.00135252975711749
"HBIN020406",0.00105089490237423
"HBIN002554",0.000999963437444009
"HBIN045176",0.000999717068865645
"HERB004938",0.000848224363872611
"HBIN019691",0.000617148121072962
"HBIN041495",0.000585941162331439
"HBIN026067",0.000399273302811135
"HBIN021985",0.000365669839935302
"HBIN038026",0.000314483396527979
"HBIN028769",0.000311848055424216
"HERB001749",0.000300813562821317
"HBIN020260",0.000298045356202299
"HBIN026843",0.000266407279535056
"HERB004013",0.000236294366560458
"HBIN031753",0.000218061347732652
"HBIN021986",0.000197979279924458
"HBIN031722",0.000190148949683855
"HBIN018278",0.000189183636157417
"HBIN038387",0.000188347779541306
"HBIN038388",0.000185373212285431
"HBIN044152",0.00017381478462814
"HBIN028076",0.000173360720057796
"HBIN046052",0.000173228750687132
"HBIN023338",0.000173216137680222
"HBIN041752",0.000172221701568812
"HBIN034094",0.000170830004101859
"HBIN025041",0.000160300409239995
"HBIN031114",0.000152031437476457
"HBIN016691",0.000146553557901721
"HBIN014935",0.000145679724323125
"HBIN038558",0.000129775404007091
"HBIN016568",0.000128142026312445
"HBIN021608",9.94141590187178e-05
"HBIN045028",9.58173696514261e-05
"HERB006908",8.51586878617437e-05
"HERB005118",5.6505699889217e-05
"HBIN036162",5.31343446910569e-05
"HBIN017024",4.77826092732257e-05
"HBIN037936",4.71492409219158e-05
"HBIN024164",4.54305966037597e-05
"HBIN027746",4.43808895771076e-05
"HBIN045073",4.08620237671381e-05
"HBIN040811",4.07772770504008e-05
"HBIN021796",3.61790221228196e-05
"HBIN040086",3.16528498700871e-05
"HBIN032754",2.78675246961667e-05
"HBIN046110",2.75448655790961e-05
"HBIN016505",2.72285099893775e-05
"HBIN044918",2.62352792125038e-05
"HBIN038627",2.55442730558988e-05
"HBIN030515",2.48469330017326e-05
"HBIN024936",2.48399910860872e-05
"HBIN029313",2.35772170620192e-05
"HBIN018094",2.29880561065007e-05
"HBIN027475",2.27382214946619e-05
"HBIN045980",2.24317012666408e-05
"HBIN015117",2.23617970203518e-05
"HBIN041334",2.10441675790116e-05
"HBIN036159",2.1018111564308e-05
"HBIN038485",2.00351479068236e-05
"HBIN044158",1.99813749370186e-05
"HBIN042852",1.97659214881439e-05
"HBIN027030",1.86914766061142e-05
"HBIN018385",1.84607091884744e-05
"HBIN025012",1.77943619238911e-05
"HBIN017056",1.76422836316886e-05
"HBIN045062",1.73262769487588e-05
"HBIN014684",1.60106583577923e-05
"HBIN033583",1.54807119027249e-05
"HBIN038680",1.48325902051236e-05
"HBIN042670",1.46540344867673e-05
"HBIN045811",1.42767681508826e-05
"HBIN033338",1.42407518907961e-05
"HBIN033339",1.42320221798996e-05
"HBIN040908",1.42137266535705e-05
"HBIN018951",1.33460152425604e-05
"HBIN033609",1.24878438844906e-05
"HBIN007288",1.24608633941953e-05
"HBIN036308",1.2204020968513e-05
"HBIN046359",1.14339907158265e-05
"HBIN027927",1.12626205542086e-05
"HBIN048036",1.11535437736951e-05
"HBIN019786",1.06970739215622e-05
"HBIN028546",9.94477927618974e-06
"HBIN044730",9.03866473711689e-06
"HBIN037940",8.99381659934146e-06
"HBIN019298",8.51664580690367e-06
