"NodeNames","Score"
"HBIN034423",0.0590783129167448
"HERB004609",0.0121613548502258
"HBIN046831",0.00648165385204043
"HBIN019690",0.0050155403046218
"HBIN019691",0.00438970904593498
"HBIN042172",0.00400186141836309
"HBIN014685",0.00363198521961419
"HBIN020984",0.00253213712944586
"HBIN014693",0.00228513886265109
"HERB002560",0.00176214922973088
"HBIN018100",0.00140625453658045
"HBIN027747",0.00129042912647438
"HBIN017246",0.00126941534902861
"HBIN034357",0.000792766341753463
"HERB001749",0.000739850071152057
"HBIN045073",0.000591354638210836
"HBIN019425",0.000567113295076131
"HBIN042111",0.000453833230810221
"HBIN014399",0.000349192353452958
"HBIN003948",0.000338238274318687
"HERB001210",0.000329720869484891
"HBIN026067",0.000326978643414336
"HBIN021608",0.000322768416696738
"HBIN020653",0.000322614065493909
"HBIN021985",0.000304136213137074
"HERB000309",0.000290140738355588
"HBIN022577",0.000287052503768562
"HBIN018163",0.000261941402016248
"HBIN016571",0.000247290010920637
"HBIN037272",0.00023582555682273
"HBIN027764",0.000232042304768552
"HBIN040811",0.000229190299923898
"HERB004694",0.000228682322306255
"HBIN008361",0.000204109194932497
"HBIN033339",0.000200950424411933
"HBIN021188",0.000197671032407213
"HERB000267",0.000182338783910128
"HBIN041903",0.000179891630881094
"HBIN020406",0.000166709752773945
"HERB000887",0.000163055918407218
"HBIN042307",0.000132703544744339
"HBIN028076",0.000132700968744679
"HBIN030896",0.000130554135313788
"HBIN037187",0.000129844176313726
"HBIN028550",0.000128489765695726
"HBIN024936",0.000119804389434043
"HBIN002095",0.000111176535633415
"HBIN041495",0.000110644265199835
"HBIN045028",0.000107980863914886
"HBIN039199",0.000103593691993072
"HBIN023366",9.57596178126669e-05
"HBIN035379",9.05498072686054e-05
"HBIN027746",8.99061996992665e-05
"HBIN034596",8.87918132156785e-05
"HBIN039001",8.87918132156785e-05
"HBIN036162",8.00347611991032e-05
"HBIN017056",7.83641000152788e-05
"HBIN038749",7.66665359522781e-05
"HBIN041916",7.58073119195731e-05
"HBIN025300",7.44323050136192e-05
"HBIN024973",7.37472013933992e-05
"HBIN045062",7.32665564253706e-05
"HBIN020511",7.3093402677563e-05
"HBIN025920",7.28088623309313e-05
"HBIN038026",7.23306006298927e-05
"HBIN046103",6.95995784474742e-05
"HBIN040797",6.9505519137233e-05
"HBIN028048",6.55131228683879e-05
"HBIN023972",6.50690763840269e-05
"HBIN026662",6.34785130826452e-05
"HBIN041332",6.20079961196501e-05
"HBIN025288",6.06384728009697e-05
"HBIN034569",5.84807434773178e-05
"HBIN025287",5.36048520476109e-05
"HBIN033751",5.29836359904001e-05
"HBIN019146",5.18764441098391e-05
"HBIN031753",5.16444404338074e-05
"HBIN013410",5.0073678834805e-05
"HBIN018006",4.67505825839199e-05
"HERB005118",4.64061991178007e-05
"HBIN038680",4.50396622286599e-05
"HBIN042852",4.46973747572964e-05
"HBIN019502",4.43887470055015e-05
"HBIN018278",4.24346346695101e-05
"HERB006990",4.12209169748049e-05
"HBIN025026",4.08123958189739e-05
"HBIN015117",3.83931133488705e-05
"HBIN014684",3.8068315751197e-05
"HBIN016087",3.77874362595174e-05
"HBIN003405",3.72604942685198e-05
"HBIN018094",3.66449030225126e-05
"HBIN036907",3.51797243951255e-05
"HBIN047579",3.43063826489467e-05
"HBIN019786",3.42392525204e-05
"HBIN039003",3.40490393029686e-05
"HBIN028546",3.37838352977287e-05
"HBIN038627",3.26355643570742e-05
"HBIN018951",3.2156642722507e-05
