"NodeNames","Score"
"HBIN036036",0.0238267864731285
"HBIN014685",0.0192850183884373
"HBIN027528",0.0162064332436951
"HBIN021608",0.00498239859330921
"HERB003658",0.00463263227295114
"HBIN014693",0.00403178249112453
"HERB000225",0.00366511893732834
"HERB006950",0.00322650623721821
"HBIN035055",0.00268462111988308
"HBIN020908",0.00225526092720009
"HBIN046523",0.00220503976929218
"HBIN020903",0.00163945636691123
"HBIN014399",0.00157932923180609
"HBIN026609",0.00156242791528239
"HBIN038026",0.00151639942136933
"HERB000330",0.001093322485567
"HBIN044676",0.00104477219319319
"HERB006280",0.000963011060360305
"HBIN028076",0.000915759185212655
"HERB004694",0.00061158952374143
"HBIN045032",0.000605947605370699
"HBIN022584",0.000555158589332185
"HBIN019111",0.000534708367199245
"HBIN020406",0.000494403487802333
"HBIN038680",0.000437672576329247
"HBIN018278",0.000356693007533822
"HBIN026067",0.00030776865790087
"HBIN033609",0.000287770599773843
"HBIN044060",0.000279120696680781
"HBIN010510",0.000277262932041956
"HBIN012818",0.000274741935215788
"HERB001779",0.000274145239368901
"HBIN045944",0.000267092703010148
"HBIN030532",0.000240969407263483
"HBIN020653",0.000231314325592627
"HBIN042438",0.000227437006766629
"HBIN017056",0.0001836523019496
"HBIN036366",0.000182126334391833
"HBIN047613",0.000156614787553812
"HBIN036162",0.000148347803114809
"HBIN019425",0.000141617885495601
"HBIN027450",0.000130706997128179
"HBIN014684",0.00013020813159416
"HBIN041495",0.000125045716942577
"HBIN045028",0.000122564679886221
"HBIN048051",0.000108718877607695
"HBIN022536",0.000104867792628172
"HBIN038424",0.000103732225622517
"HBIN035246",0.000102616767785686
"HBIN033339",7.99461698952831e-05
"HBIN016408",6.84067370154086e-05
"HBIN039150",5.94608300036073e-05
"HBIN045258",5.48602409598682e-05
"HBIN039072",5.37429816813185e-05
"HBIN045115",5.33556585851892e-05
"HBIN048902",5.33163604642169e-05
"HBIN037213",5.27609956609916e-05
"HBIN002095",5.264877422909e-05
"HBIN025193",5.24814019377546e-05
"HBIN039888",5.24038878725154e-05
"HBIN044322",5.14555271012865e-05
"HBIN047870",5.14302608963602e-05
"HBIN039065",5.13886152318623e-05
"HBIN048901",5.13196706506579e-05
"HBIN012532",5.12797577523532e-05
"HBIN031343",5.11456167100225e-05
"HBIN047867",5.11456167100225e-05
"HBIN048911",5.11456167100225e-05
"HBIN039061",5.10554255152317e-05
"HBIN038371",5.09919182835152e-05
"HBIN004642",5.09766469695141e-05
"HBIN046084",5.02071493049275e-05
"HBIN006867",4.82007881481756e-05
"HBIN027670",4.70451770294789e-05
"HBIN028546",4.38889859189631e-05
"HBIN033803",4.03855223734033e-05
"HERB005118",3.87675407358587e-05
"HBIN026662",3.85253472181529e-05
"HBIN046359",3.6209354960329e-05
"HBIN019688",3.36286327147768e-05
"HBIN019298",3.32749168991533e-05
"HBIN031753",3.26365262288703e-05
"HBIN033890",3.24899533345294e-05
"HBIN040908",3.21596259578232e-05
"HBIN045062",3.14332070728214e-05
"HBIN024936",2.96103325254784e-05
"HBIN018094",2.89087509471108e-05
"HBIN033751",2.71293483780006e-05
"HBIN042172",2.64192325046708e-05
"HBIN048047",2.60869270007158e-05
"HBIN045937",2.54387390167921e-05
"HBIN029444",2.49475125894446e-05
"HBIN019786",2.46697917800002e-05
"HBIN040747",2.37963843225232e-05
"HBIN024930",2.35249418045174e-05
"HBIN014423",2.1608455025547e-05
"HBIN044918",2.14275559583454e-05
"HBIN016505",2.12980896028308e-05
"HBIN038627",2.12136955915436e-05
"HBIN032583",2.09200982856564e-05
"HBIN019948",2.06592452867412e-05
"HBIN023132",2.03101259348078e-05
"HBIN017508",2.02422321124212e-05
"HBIN025226",1.99971230090597e-05
"HBIN022815",1.97834879889149e-05
"HBIN045972",1.93073149302651e-05
"HBIN045031",1.90447612498927e-05
"HBIN026145",1.87290401876036e-05
"HBIN029771",1.80574971891288e-05
"HBIN044158",1.79423768541042e-05
"HBIN044152",1.78796641654686e-05
"HBIN018781",1.71101122608009e-05
"HBIN048368",1.70163928696212e-05
"HBIN026881",1.68391049695237e-05
"HBIN027030",1.66702564883986e-05
"HBIN037188",1.66314095992321e-05
"HBIN027162",1.64734834968373e-05
"HBIN026385",1.63620617545444e-05
"HBIN013310",1.63114733839494e-05
"HBIN035798",1.62636093145619e-05
"HBIN042670",1.57532903523624e-05
"HBIN028847",1.56901559950445e-05
"HBIN003048",1.54815182388052e-05
"HBIN033440",1.5467247555875e-05
"HBIN019252",1.53766823137424e-05
"HBIN030934",1.53694207519364e-05
"HBIN034750",1.53694207519364e-05
"HBIN036692",1.53633117781718e-05
"HBIN020915",1.53328521731855e-05
"HBIN024452",1.52000485847308e-05
"HBIN004061",1.51579946326298e-05
"HBIN035214",1.50834809466951e-05
"HBIN027103",1.49622891221388e-05
"HBIN037254",1.49344871163095e-05
"HBIN048935",1.49298886742868e-05
"HBIN029313",1.48654252767533e-05
"HBIN047738",1.46839398803063e-05
"HBIN021356",1.46792962734585e-05
"HBIN037085",1.46429879642691e-05
"HBIN047416",1.46429879642691e-05
"HBIN024821",1.46317085105403e-05
"HBIN017043",1.43193623309091e-05
"HBIN020657",1.41917129108935e-05
"HBIN012943",1.4176419801703e-05
"HBIN042339",1.41038498592643e-05
"HBIN046387",1.40289665215639e-05
"HBIN029840",1.40174917462832e-05
"HBIN016568",1.39484139244018e-05
"HBIN036308",1.38006327347804e-05
"HBIN037281",1.37689288899962e-05
"HBIN032807",1.36601243225091e-05
"HBIN024252",1.36519202708537e-05
"HBIN048842",1.36267036873355e-05
"HBIN020014",1.36216705316069e-05
"HBIN007703",1.35788393452643e-05
"HBIN003897",1.35738999020318e-05
"HBIN048342",1.35335543058642e-05
"HBIN025300",1.35326356117847e-05
"HBIN039031",1.3531089907598e-05
"HBIN009501",1.35286867072833e-05
"HBIN021801",1.34411222374193e-05
"HBIN033265",1.32557049221719e-05
"HBIN023190",1.31481025007946e-05
"HBIN023623",1.31018512562354e-05
"HBIN019986",1.30295878632206e-05
"HBIN026468",1.28869155162321e-05
"HBIN041273",1.28574009578061e-05
"HBIN047561",1.27362890896137e-05
"HBIN029519",1.27201336375556e-05
"HBIN015584",1.25526787233438e-05
