Syndrome_id,SYMBOL
Syndrome 5,BMP2K
Syndrome 5,BRMS1
Syndrome 5,CAAP1
Syndrome 5,CAMK2B
Syndrome 5,CAPNS1
Syndrome 5,CAPRIN2
Syndrome 5,CAPZB
Syndrome 5,CASC3
Syndrome 5,CBX7
Syndrome 5,CBY1
Syndrome 5,CCDC85B
Syndrome 5,CCHCR1
Syndrome 5,CCNL1
Syndrome 5,CD2BP2
Syndrome 5,CD38
Syndrome 5,CD63
Syndrome 5,CD99
Syndrome 5,CDC16
Syndrome 5,CDC42BPA
Syndrome 5,CDK9
Syndrome 5,CEP170
Syndrome 5,CEP350
Syndrome 5,CERK
Syndrome 5,CERT1
Syndrome 5,CHORDC1
Syndrome 5,CIAO2B
Syndrome 5,CIRBP
Syndrome 5,CKAP2
Syndrome 5,CLEC3B
Syndrome 5,CLTB
Syndrome 5,CLVS1
Syndrome 5,CLVS2
Syndrome 5,CNN1
Syndrome 5,CNPY2
Syndrome 5,CNPY3
Syndrome 5,COLGALT2
Syndrome 5,COPE
Syndrome 5,COPS6
Syndrome 5,CPM
Syndrome 5,CPNE1
Syndrome 5,CREB3
Syndrome 5,CRYBG2
Syndrome 5,CSNK1G2
Syndrome 5,CSNK2B
Syndrome 5,CSPG4
Syndrome 5,CTDNEP1
Syndrome 5,CTDSPL
Syndrome 5,CTNNBL1
Syndrome 5,CUEDC2
Syndrome 5,CUL4A
Syndrome 5,CUTC
Syndrome 5,CWH43
Syndrome 5,DAAM2
Syndrome 5,DCTN3
Syndrome 5,DDO
Syndrome 5,DDX18
Syndrome 5,DDX24
Syndrome 5,DDX41
Syndrome 5,DENND10
Syndrome 5,DENND2B
Syndrome 5,DENND2D
Syndrome 5,DENND4A
Syndrome 5,DEPP1
Syndrome 5,DLST
Syndrome 5,DMTF1
Syndrome 5,DNAJA3
Syndrome 5,DNAJC7
Syndrome 5,DNPH1
Syndrome 5,DOCK1
Syndrome 5,DOHH
Syndrome 5,DOK1
Syndrome 5,DPT
Syndrome 5,DR1
Syndrome 5,DRG2
Syndrome 5,ECSIT
Syndrome 5,EDF1
Syndrome 5,EEF1D
Syndrome 5,EFCAB14
Syndrome 5,EFHD2
Syndrome 5,EGLN2
Syndrome 5,EHD2
Syndrome 5,EIF3A
Syndrome 5,EIF3K
Syndrome 5,EIF5B
Syndrome 5,ELF1
Syndrome 5,ELOA
Syndrome 5,EMC6
Syndrome 5,EMILIN1
Syndrome 5,EML2
Syndrome 5,EMP3
Syndrome 5,EMSY
Syndrome 5,EPN2
Syndrome 5,ESRP2
Syndrome 5,EVL
Syndrome 5,EXOC3
Syndrome 5,EYA2
Syndrome 5,FAIM
Syndrome 5,FAM174C
Syndrome 5,FAM53B
Syndrome 5,FAM89B
Syndrome 5,FASTKD3
Syndrome 5,FBXL7
Syndrome 5,FBXO17
Syndrome 5,FIBP
Syndrome 5,FIS1
Syndrome 5,FNBP1
Syndrome 5,FNBP4
Syndrome 5,FOXF2
Syndrome 5,FXYD6
Syndrome 5,FZR1
Syndrome 5,GAB2
Syndrome 5,GAK
Syndrome 5,GCFC2
Syndrome 5,GDAP1L1
Syndrome 5,GIGYF2
Syndrome 5,GIMAP5
Syndrome 5,GLG1
Syndrome 5,GOLGA3
Syndrome 5,GOSR1
Syndrome 5,GOT1L1
Syndrome 5,GPATCH8
Syndrome 5,GPKOW
Syndrome 5,GPN3
Syndrome 5,GPR107
Syndrome 5,GPRIN2
Syndrome 5,GRK3
Syndrome 5,GTF2F1
Syndrome 5,GTPBP8
Syndrome 5,HARS1
Syndrome 5,HAUS3
Syndrome 5,HEMK1
Syndrome 5,HIGD2A
Syndrome 5,HLA-DPA1
Syndrome 5,HMGXB4
Syndrome 5,HNRNPR
Syndrome 5,HOOK1
Syndrome 5,ICA1
Syndrome 5,IFFO1
Syndrome 5,IFITM1
Syndrome 5,IFITM2
Syndrome 5,IFITM3
Syndrome 5,IFT74
Syndrome 5,IFT81
Syndrome 5,IK
Syndrome 5,IL13RA1
Syndrome 5,ILF3
Syndrome 5,INPP5K
Syndrome 5,INTS6
Syndrome 5,IPP
Syndrome 5,IQSEC1
Syndrome 5,ISCA1
Syndrome 5,ITM2C
Syndrome 5,ITPKB
Syndrome 5,KBTBD2
Syndrome 5,KCTD2
Syndrome 5,KIAA0930
Syndrome 5,KIAA1522
Syndrome 5,KLC1
Syndrome 5,KLHL20
Syndrome 5,KLHL4
Syndrome 5,KPNB1
Syndrome 5,LAD1
Syndrome 5,LDB2
Syndrome 5,LMO3
Syndrome 5,LMOD1
Syndrome 5,LRRC41
Syndrome 5,LSR
Syndrome 5,LUC7L2
Syndrome 5,LUC7L3
Syndrome 5,MACROH2A2
Syndrome 5,MAP6D1
Syndrome 5,MAST4
Syndrome 5,MBOAT7
Syndrome 5,MCM3AP
Syndrome 5,MCRS1
Syndrome 5,MDM1
Syndrome 5,MED15
Syndrome 5,MED27
Syndrome 5,MFAP2
Syndrome 5,MFSD14B
Syndrome 5,MIS12
Syndrome 5,MLF2
Syndrome 5,MMS19
Syndrome 5,MNT
Syndrome 5,MOXD1
Syndrome 5,MPHOSPH10
Syndrome 5,MPZL1
Syndrome 5,MRM3
Syndrome 5,MRPL12
Syndrome 5,MRPL34
Syndrome 5,MRPL9
Syndrome 5,MSN
Syndrome 5,MSRA
Syndrome 5,MTCH2
Syndrome 5,MTERF3
Syndrome 5,MTF2
Syndrome 5,MTFR1
Syndrome 5,MTMR9
Syndrome 5,MUL1
Syndrome 5,NAA60
Syndrome 5,NACAD
Syndrome 5,NADSYN1
Syndrome 5,NAV3
Syndrome 5,NCDN
Syndrome 5,NDUFA3
Syndrome 5,NDUFB8
Syndrome 5,NIPSNAP3B
Syndrome 5,NIT1
Syndrome 5,NIT2
Syndrome 5,NOL8
Syndrome 5,NPEPL1
Syndrome 5,NSFL1C
Syndrome 5,NSUN5
Syndrome 5,NUDC
Syndrome 5,NUP160
Syndrome 5,NUTF2
Syndrome 5,OSBPL1A
Syndrome 5,PABPC1
Syndrome 5,PABPC3
Syndrome 5,PALM2AKAP2
Syndrome 5,PARL
Syndrome 5,PBXIP1
Syndrome 5,PCGF1
Syndrome 5,PCYOX1L
Syndrome 5,PDE8A
Syndrome 5,PDK1
Syndrome 5,PDK2
Syndrome 5,PDK3
Syndrome 5,PDLIM2
Syndrome 5,PDLIM4
Syndrome 5,PDLIM7
Syndrome 5,PDPK1
Syndrome 5,PEF1
Syndrome 5,PEMT
Syndrome 5,PER3
Syndrome 5,PES1
Syndrome 5,PFDN2
Syndrome 5,PHC2
Syndrome 5,PHF20
Syndrome 5,PIAS1
Syndrome 5,PIAS4
Syndrome 5,PIGH
Syndrome 5,PIP4K2C
Syndrome 5,PITPNA
Syndrome 5,PJA1
Syndrome 5,PLEKHJ1
Syndrome 5,PLEKHO1
Syndrome 5,PLEKHO2
Syndrome 5,POLI
Syndrome 5,POLR2C
Syndrome 5,PPAT
Syndrome 5,PPIC
Syndrome 5,PPP1R9A
Syndrome 5,PRDM2
Syndrome 5,PRMT1
Syndrome 5,PRMT2
Syndrome 5,PRMT3
Syndrome 5,PRPF18
Syndrome 5,PRPF40A
Syndrome 5,PRR13
Syndrome 5,PRR14
Syndrome 5,PRRG4
Syndrome 5,PSCA
Syndrome 5,PTMS
Syndrome 5,PWP1
Syndrome 5,PYCR3
Syndrome 5,PYGO2
Syndrome 5,QTRT1
Syndrome 5,R3HDM1
Syndrome 5,RABAC1
Syndrome 5,RABGAP1
Syndrome 5,RALBP1
Syndrome 5,RALGPS1
Syndrome 5,RALY
Syndrome 5,RANBP9
Syndrome 5,RAPGEF2
Syndrome 5,RAPGEF6
Syndrome 5,RARRES2
Syndrome 5,RBM42
Syndrome 5,RBM5
Syndrome 5,RBPMS
Syndrome 5,RCHY1
Syndrome 5,RCN2
Syndrome 5,RCOR3
Syndrome 5,RECQL
Syndrome 5,RGPD8
Syndrome 5,RIOK3
Syndrome 5,RNF111
Syndrome 5,RNF5
Syndrome 5,RNPS1
Syndrome 5,RO60
Syndrome 5,RPL14
Syndrome 5,RPL27
Syndrome 5,RPRD2
Syndrome 5,RRP7A
Syndrome 5,RRS1
Syndrome 5,RSAD1
Syndrome 5,RSRC2
Syndrome 5,RTL8A
Syndrome 5,RTL8C
Syndrome 5,RTN1
Syndrome 5,RTN3
Syndrome 5,RTN4
Syndrome 5,RUFY1
Syndrome 5,RUFY2
Syndrome 5,RUFY3
Syndrome 5,RUNX3
Syndrome 5,RYBP
Syndrome 5,SATB1
Syndrome 5,SCAF4
Syndrome 5,SCAMP3
Syndrome 5,SCAPER
Syndrome 5,SCMH1
Syndrome 5,SCML1
Syndrome 5,SDR39U1
Syndrome 5,SEC13
