Syndrome_id,SYMBOL
Syndrome 4,ACTA1
Syndrome 4,ACTB
Syndrome 4,ACTC1
Syndrome 4,ACTG1
Syndrome 4,ADA2
Syndrome 4,ADAR
Syndrome 4,ADAT3
Syndrome 4,AGTR2
Syndrome 4,ANK1
Syndrome 4,ANK2
Syndrome 4,ANK3
Syndrome 4,ANKRD1
Syndrome 4,ANKRD26
Syndrome 4,ANKRD55
Syndrome 4,ANKS6
Syndrome 4,ASB10
Syndrome 4,BCKDHA
Syndrome 4,BMP1
Syndrome 4,C3
Syndrome 4,C5
Syndrome 4,CARD14
Syndrome 4,CASR
Syndrome 4,CCR1
Syndrome 4,CDKN2B
Syndrome 4,CDKN2C
Syndrome 4,CDKN2D
Syndrome 4,CXCR4
Syndrome 4,DDR2
Syndrome 4,DIABLO
Syndrome 4,DLG3
Syndrome 4,DRD2
Syndrome 4,DRD3
Syndrome 4,DYSF
Syndrome 4,EHMT1
Syndrome 4,ESPN
Syndrome 4,FPR1
Syndrome 4,GHRHR
Syndrome 4,GRK1
Syndrome 4,GRM4
Syndrome 4,HACE1
Syndrome 4,HINT1
Syndrome 4,HLA-A
Syndrome 4,HLCS
Syndrome 4,HSD17B10
Syndrome 4,HTR1A
Syndrome 4,HTR1B
Syndrome 4,INVS
Syndrome 4,KANK1
Syndrome 4,MIB1
Syndrome 4,MMP8
Syndrome 4,MTNR1B
Syndrome 4,NFKB2
Syndrome 4,NOTCH1
Syndrome 4,NOTCH2
Syndrome 4,NOTCH3
Syndrome 4,NPY
Syndrome 4,NT5C2
Syndrome 4,NT5C3A
Syndrome 4,OPRK1
Syndrome 4,OTOF
Syndrome 4,OXT
Syndrome 4,P2RY11
Syndrome 4,PDYN
Syndrome 4,PEX13
Syndrome 4,PLA2G6
Syndrome 4,PLCG2
Syndrome 4,PSMB8
Syndrome 4,PTGER2
Syndrome 4,PTH1R
Syndrome 4,PTS
Syndrome 4,RFXANK
Syndrome 4,RIPK4
Syndrome 4,RNASEL
Syndrome 4,S1PR2
Syndrome 4,SAA1
Syndrome 4,SLC5A7
Syndrome 4,SNCAIP
Syndrome 4,TLL1
Syndrome 4,TRMT5
Syndrome 4,BARD1
Syndrome 4,BCL3
Syndrome 4,CCR3
Syndrome 4,CCR4
Syndrome 4,GABPB1
Syndrome 4,FGF7
Syndrome 4,CCL20
Syndrome 4,CXCL5
Syndrome 4,CX3CL1
Syndrome 4,PENK
Syndrome 4,SLC28A2
Syndrome 4,AHCYL1
Syndrome 4,ADM2
Syndrome 4,CXCL9
Syndrome 4,ABTB1
Syndrome 4,ACKR3
Syndrome 4,ACTBL2
Syndrome 4,ACTL10
Syndrome 4,ACTL6A
Syndrome 4,ACTL6B
Syndrome 4,ACTL7A
Syndrome 4,ACTL7B
Syndrome 4,ACTL8
Syndrome 4,ACTL9
Syndrome 4,ACTR10
Syndrome 4,ACTR1A
Syndrome 4,ACTR1B
Syndrome 4,ACTR2
Syndrome 4,ACTR3
Syndrome 4,ACTR3B
Syndrome 4,ACTR3C
Syndrome 4,ACTR8
Syndrome 4,ACTRT1
Syndrome 4,ACTRT2
Syndrome 4,ACTRT3
Syndrome 4,ADARB1
Syndrome 4,ADARB2
Syndrome 4,ADCYAP1R1
Syndrome 4,ADH1A
Syndrome 4,AHCYL2
Syndrome 4,AK3
Syndrome 4,AK7
Syndrome 4,AK8
Syndrome 4,AK9
Syndrome 4,ALKBH4
Syndrome 4,AMBP
Syndrome 4,ANKDD1B
Syndrome 4,ANKEF1
Syndrome 4,ANKFY1
Syndrome 4,ANKHD1
Syndrome 4,ANKK1
Syndrome 4,ANKRA2
Syndrome 4,ANKRD10
Syndrome 4,ANKRD16
Syndrome 4,ANKRD17
Syndrome 4,ANKRD18A
Syndrome 4,ANKRD18B
Syndrome 4,ANKRD2
Syndrome 4,ANKRD20A2P
Syndrome 4,ANKRD20A4P
Syndrome 4,ANKRD22
Syndrome 4,ANKRD23
Syndrome 4,ANKRD24
Syndrome 4,ANKRD27
Syndrome 4,ANKRD28
Syndrome 4,ANKRD29
Syndrome 4,ANKRD30A
Syndrome 4,ANKRD30B
Syndrome 4,ANKRD30BL
Syndrome 4,ANKRD35
Syndrome 4,ANKRD36
Syndrome 4,ANKRD36C
Syndrome 4,ANKRD37
Syndrome 4,ANKRD39
Syndrome 4,ANKRD42
Syndrome 4,ANKRD44
Syndrome 4,ANKRD46
Syndrome 4,ANKRD49
Syndrome 4,ANKRD50
Syndrome 4,ANKRD52
Syndrome 4,ANKRD53
Syndrome 4,ANKRD54
Syndrome 4,ANKRD6
Syndrome 4,ANKRD60
Syndrome 4,ANKRD61
Syndrome 4,ANKRD63
Syndrome 4,ANKRD65
Syndrome 4,ANKRD66
Syndrome 4,ANKRD7
Syndrome 4,ANKRD9
Syndrome 4,ANKS1A
Syndrome 4,ANKS1B
Syndrome 4,ANKS3
Syndrome 4,ANKS4B
Syndrome 4,ANXA1
Syndrome 4,APLNR
Syndrome 4,ASB1
Syndrome 4,ASB11
Syndrome 4,ASB12
Syndrome 4,ASB13
Syndrome 4,ASB14
Syndrome 4,ASB15
Syndrome 4,ASB16
Syndrome 4,ASB18
Syndrome 4,ASB2
Syndrome 4,ASB4
Syndrome 4,ASB5
Syndrome 4,ASB6
Syndrome 4,ASB7
Syndrome 4,ASB8
Syndrome 4,ASB9
Syndrome 4,ASPG
Syndrome 4,ASZ1
Syndrome 4,ATP8A1
Syndrome 4,BDKRB1
Syndrome 4,C3AR1
Syndrome 4,CASKIN1
Syndrome 4,CASKIN2
Syndrome 4,CCNT1
Syndrome 4,CCR9
Syndrome 4,CDK9
Syndrome 4,CNR1
Syndrome 4,CNR2
Syndrome 4,CTSS
Syndrome 4,CTTNBP2
Syndrome 4,CUL1
Syndrome 4,CXCL16
Syndrome 4,CXCL3
Syndrome 4,CXCR1
Syndrome 4,CXCR2
Syndrome 4,CXCR3
Syndrome 4,CXCR6
Syndrome 4,DCK
Syndrome 4,DCUN1D1
Syndrome 4,DIMT1
Syndrome 4,DLG2
Syndrome 4,DRD4
Syndrome 4,EHMT2
Syndrome 4,ENAH
Syndrome 4,ESPNL
Syndrome 4,FANK1
Syndrome 4,FEM1A
Syndrome 4,FEM1B
Syndrome 4,FEM1C
Syndrome 4,FES
Syndrome 4,FHIT
Syndrome 4,FOXQ1
Syndrome 4,FPGT-TNNI3K
Syndrome 4,FPR2
Syndrome 4,GABPB2
Syndrome 4,GALR1
Syndrome 4,GALR2
Syndrome 4,GALR3
Syndrome 4,GCAT
Syndrome 4,GGTLC1
Syndrome 4,GHRH
Syndrome 4,GHRL
Syndrome 4,GNB2
Syndrome 4,GNB3
Syndrome 4,GNG11
Syndrome 4,GNG12
Syndrome 4,GNG13
Syndrome 4,GNG2
Syndrome 4,GNG3
Syndrome 4,GNG5
Syndrome 4,GNG7
Syndrome 4,GNG8
Syndrome 4,GNGT2
Syndrome 4,GPER1
Syndrome 4,GPR17
Syndrome 4,GPR18
Syndrome 4,GPR55
Syndrome 4,GRK4
Syndrome 4,GRK5
Syndrome 4,GRK7
Syndrome 4,GUK1
Syndrome 4,HCAR2
Syndrome 4,HCAR3
Syndrome 4,HINT2
Syndrome 4,HLA-C
Syndrome 4,HLA-G
Syndrome 4,HNRNPD
Syndrome 4,HRH3
Syndrome 4,HRH4
Syndrome 4,HTR1E
Syndrome 4,HTR1F
Syndrome 4,HTR5A
Syndrome 4,ILK
Syndrome 4,JCHAIN
Syndrome 4,KANK3
Syndrome 4,KANK4
Syndrome 4,KIDINS220
Syndrome 4,KNG1
Syndrome 4,LGMN
Syndrome 4,LPAR1
Syndrome 4,LPAR2
Syndrome 4,LPAR3
Syndrome 4,LPAR5
Syndrome 4,MAGI3
Syndrome 4,MARCO
Syndrome 4,MAT2B
Syndrome 4,MCHR1
Syndrome 4,MCHR2
Syndrome 4,MPHOSPH8
Syndrome 4,MPP1
Syndrome 4,MPP2
Syndrome 4,MPP3
Syndrome 4,MPP4
Syndrome 4,MPP7
Syndrome 4,MRPL17
Syndrome 4,MRPL19
Syndrome 4,MRPL20
Syndrome 4,MRPL27
Syndrome 4,MRPL32
Syndrome 4,MRPL36
Syndrome 4,MRPL38
Syndrome 4,MTAP
Syndrome 4,MTRNR2L12
Syndrome 4,NAA11
Syndrome 4,NAA20
Syndrome 4,NAA30
Syndrome 4,NCK2
Syndrome 4,NFKBIB
Syndrome 4,NFKBID
Syndrome 4,NFKBIE
Syndrome 4,NFKBIZ
Syndrome 4,NKPD1
Syndrome 4,NMS
Syndrome 4,NMU
Syndrome 4,NMUR1
Syndrome 4,NMUR2
Syndrome 4,NOTCH4
Syndrome 4,NPBWR1
Syndrome 4,NPBWR2
Syndrome 4,NPY1R
Syndrome 4,NPY2R
Syndrome 4,NPY4R2
Syndrome 4,NPY5R
Syndrome 4,NRARP
Syndrome 4,NT5C
Syndrome 4,NT5C1A
Syndrome 4,NT5C1B
Syndrome 4,NT5C3B
Syndrome 4,OPRL1
Syndrome 4,PADI4
Syndrome 4,PARD6A
Syndrome 4,PARD6B
Syndrome 4,PARD6G
Syndrome 4,PARVB
Syndrome 4,PAXBP1
Syndrome 4,PCMT1
Syndrome 4,PCMTD1
Syndrome 4,PCMTD2
Syndrome 4,PDCL
Syndrome 4,PEBP4
Syndrome 4,PFN2
Syndrome 4,PFN4
Syndrome 4,PGGT1B
Syndrome 4,PGK2
Syndrome 4,PI4K2A
Syndrome 4,PIDD1
Syndrome 4,PMCH
Syndrome 4,PNRC2
Syndrome 4,POTEB
Syndrome 4,POTEB2
Syndrome 4,POTEC
Syndrome 4,POTED
Syndrome 4,POTEE
Syndrome 4,POTEH
Syndrome 4,POTEI
Syndrome 4,POTEJ
Syndrome 4,PPP1R12A
Syndrome 4,PPP1R12C
Syndrome 4,PPP1R16A
Syndrome 4,PPP1R16B
Syndrome 4,PPP1R27
Syndrome 4,PSMD10
Syndrome 4,PTH2
Syndrome 4,PTH2R
Syndrome 4,RABGGTA
Syndrome 4,RABGGTB
Syndrome 4,RAI14
Syndrome 4,RXFP3
Syndrome 4,RXFP4
Syndrome 4,S1PR3
Syndrome 4,SCPEP1
Syndrome 4,SCT
Syndrome 4,SCTR
Syndrome 4,SDCBP2
Syndrome 4,SEC61A2
Syndrome 4,SETD4
Syndrome 4,SFT2D3
Syndrome 4,SHANK1
Syndrome 4,SHANK2
