Herb_id,Ingredient_id
HERB001749,HBIN002911
HERB001749,HBIN003405
HERB001749,HBIN005867
HERB001749,HBIN006367
HERB001749,HBIN008225
HERB001749,HBIN014684
HERB001749,HBIN015117
HERB001749,HBIN017968
HERB001749,HBIN018094
HERB001749,HBIN018129
HERB001749,HBIN019688
HERB001749,HBIN019691
HERB001749,HBIN019948
HERB001749,HBIN020146
HERB001749,HBIN020260
HERB001749,HBIN020406
HERB001749,HBIN024936
HERB001749,HBIN025006
HERB001749,HBIN025012
HERB001749,HBIN025543
HERB001749,HBIN025553
HERB001749,HBIN025557
HERB001749,HBIN025920
HERB001749,HBIN025922
HERB001749,HBIN027030
HERB001749,HBIN027745
HERB001749,HBIN027746
HERB001749,HBIN028847
HERB001749,HBIN029074
HERB001749,HBIN029260
HERB001749,HBIN032754
HERB001749,HBIN033339
HERB001749,HBIN033777
HERB001749,HBIN036159
HERB001749,HBIN038026
HERB001749,HBIN038555
HERB001749,HBIN038556
HERB001749,HBIN038558
HERB001749,HBIN038680
HERB001749,HBIN039207
HERB001749,HBIN040509
HERB001749,HBIN040570
HERB001749,HBIN040573
HERB001749,HBIN040575
HERB001749,HBIN040578
HERB001749,HBIN041751
HERB001749,HBIN041752
HERB001749,HBIN044730
HERB001749,HBIN046625
HERB001749,HBIN047126
HERB001749,HBIN047345
HERB001749,HBIN047546
HERB004013,HBIN003176
HERB004013,HBIN007288
HERB004013,HBIN007867
HERB004013,HBIN008663
HERB004013,HBIN011060
HERB004013,HBIN012422
HERB004013,HBIN016494
HERB004013,HBIN016505
HERB004013,HBIN017408
HERB004013,HBIN018048
HERB004013,HBIN018781
HERB004013,HBIN019298
HERB004013,HBIN019921
HERB004013,HBIN021166
HERB004013,HBIN023184
HERB004013,HBIN023404
HERB004013,HBIN024107
HERB004013,HBIN026067
HERB004013,HBIN027030
HERB004013,HBIN029328
HERB004013,HBIN029831
HERB004013,HBIN031032
HERB004013,HBIN031102
HERB004013,HBIN031753
HERB004013,HBIN034094
HERB004013,HBIN034281
HERB004013,HBIN034384
HERB004013,HBIN035415
HERB004013,HBIN035849
HERB004013,HBIN037768
HERB004013,HBIN037936
HERB004013,HBIN037940
HERB004013,HBIN038026
HERB004013,HBIN038387
HERB004013,HBIN038388
HERB004013,HBIN038494
HERB004013,HBIN038606
HERB004013,HBIN038627
HERB004013,HBIN038628
HERB004013,HBIN038629
HERB004013,HBIN039419
HERB004013,HBIN041495
HERB004013,HBIN041726
HERB004013,HBIN043221
HERB004013,HBIN043228
HERB004013,HBIN044158
HERB004013,HBIN045115
HERB004013,HBIN047242
HERB004013,HBIN047738
HERB004013,HBIN048349
HERB004013,HBIN048464
HERB004938,HBIN002102
HERB004938,HBIN014213
HERB004938,HBIN014230
HERB004938,HBIN014685
HERB004938,HBIN014935
HERB004938,HBIN015193
HERB004938,HBIN015704
HERB004938,HBIN015728
HERB004938,HBIN017056
HERB004938,HBIN018110
HERB004938,HBIN018278
HERB004938,HBIN018385
HERB004938,HBIN019475
HERB004938,HBIN019786
HERB004938,HBIN019801
HERB004938,HBIN019825
HERB004938,HBIN020406
HERB004938,HBIN021150
HERB004938,HBIN021739
HERB004938,HBIN021796
HERB004938,HBIN022834
HERB004938,HBIN023338
HERB004938,HBIN024164
HERB004938,HBIN024535
HERB004938,HBIN025024
HERB004938,HBIN025553
HERB004938,HBIN026067
HERB004938,HBIN027103
HERB004938,HBIN027927
HERB004938,HBIN028076
HERB004938,HBIN028546
HERB004938,HBIN028550
HERB004938,HBIN028769
HERB004938,HBIN029443
HERB004938,HBIN030515
HERB004938,HBIN030752
HERB004938,HBIN031378
HERB004938,HBIN031722
HERB004938,HBIN032456
HERB004938,HBIN032992
HERB004938,HBIN033218
HERB004938,HBIN033245
HERB004938,HBIN033265
HERB004938,HBIN033432
HERB004938,HBIN033583
HERB004938,HBIN033609
HERB004938,HBIN033890
HERB004938,HBIN034284
HERB004938,HBIN034749
HERB004938,HBIN035214
HERB004938,HBIN036050
HERB004938,HBIN036067
HERB004938,HBIN036162
HERB004938,HBIN036308
HERB004938,HBIN036819
HERB004938,HBIN038393
HERB004938,HBIN038485
HERB004938,HBIN039092
HERB004938,HBIN039396
HERB004938,HBIN040086
HERB004938,HBIN040811
HERB004938,HBIN041273
HERB004938,HBIN041334
HERB004938,HBIN042862
HERB004938,HBIN044918
HERB004938,HBIN045673
HERB004938,HBIN045975
HERB004938,HBIN045980
HERB004938,HBIN046359
HERB004938,HBIN046387
HERB004938,HBIN046736
HERB004950,HBIN000292
HERB004950,HBIN001307
HERB004950,HBIN002123
HERB004950,HBIN002554
HERB004950,HBIN003405
HERB004950,HBIN003599
HERB004950,HBIN004817
HERB004950,HBIN004821
HERB004950,HBIN006072
HERB004950,HBIN006083
HERB004950,HBIN006127
HERB004950,HBIN007288
HERB004950,HBIN009957
HERB004950,HBIN010390
HERB004950,HBIN010599
HERB004950,HBIN011491
HERB004950,HBIN012481
HERB004950,HBIN013056
HERB004950,HBIN014367
HERB004950,HBIN015368
HERB004950,HBIN015470
HERB004950,HBIN015475
HERB004950,HBIN015476
HERB004950,HBIN015547
HERB004950,HBIN015704
HERB004950,HBIN016080
HERB004950,HBIN016691
HERB004950,HBIN016827
HERB004950,HBIN017024
HERB004950,HBIN017056
HERB004950,HBIN017440
HERB004950,HBIN017652
HERB004950,HBIN017866
HERB004950,HBIN018012
HERB004950,HBIN018094
HERB004950,HBIN018278
HERB004950,HBIN018382
HERB004950,HBIN018951
HERB004950,HBIN019111
HERB004950,HBIN019233
HERB004950,HBIN019252
HERB004950,HBIN019298
HERB004950,HBIN019321
HERB004950,HBIN019643
HERB004950,HBIN019652
HERB004950,HBIN019657
HERB004950,HBIN019659
HERB004950,HBIN019735
HERB004950,HBIN020363
HERB004950,HBIN020655
HERB004950,HBIN020720
HERB004950,HBIN020724
HERB004950,HBIN021422
HERB004950,HBIN021482
HERB004950,HBIN021486
HERB004950,HBIN021604
HERB004950,HBIN021608
HERB004950,HBIN021985
HERB004950,HBIN021986
HERB004950,HBIN021990
HERB004950,HBIN022393
HERB004950,HBIN022815
HERB004950,HBIN022834
HERB004950,HBIN023058
HERB004950,HBIN023623
HERB004950,HBIN024112
HERB004950,HBIN024306
HERB004950,HBIN024567
HERB004950,HBIN024875
HERB004950,HBIN024930
HERB004950,HBIN024967
HERB004950,HBIN024976
HERB004950,HBIN024978
HERB004950,HBIN025313
HERB004950,HBIN025944
HERB004950,HBIN025963
HERB004950,HBIN025965
HERB004950,HBIN026067
HERB004950,HBIN026072
HERB004950,HBIN026151
HERB004950,HBIN026603
HERB004950,HBIN026610
HERB004950,HBIN026843
HERB004950,HBIN026881
HERB004950,HBIN026938
HERB004950,HBIN027030
HERB004950,HBIN027166
HERB004950,HBIN027475
HERB004950,HBIN028044
HERB004950,HBIN028076
HERB004950,HBIN028429
HERB004950,HBIN028546
HERB004950,HBIN029260
HERB004950,HBIN029313
HERB004950,HBIN029443
HERB004950,HBIN029720
HERB004950,HBIN029831
HERB004950,HBIN030411
HERB004950,HBIN030515
HERB004950,HBIN030728
HERB004950,HBIN031114
HERB004950,HBIN031378
HERB004950,HBIN032583
HERB004950,HBIN032754
HERB004950,HBIN032873
HERB004950,HBIN032989
HERB004950,HBIN033218
HERB004950,HBIN033265
HERB004950,HBIN033330
HERB004950,HBIN033338
HERB004950,HBIN033476
HERB004950,HBIN033583
HERB004950,HBIN033609
HERB004950,HBIN034311
HERB004950,HBIN034389
HERB004950,HBIN034527
HERB004950,HBIN035214
HERB004950,HBIN035224
HERB004950,HBIN035297
HERB004950,HBIN035298
HERB004950,HBIN035317
HERB004950,HBIN035353
HERB004950,HBIN035598
HERB004950,HBIN035791
HERB004950,HBIN036159
HERB004950,HBIN036162
HERB004950,HBIN037263
HERB004950,HBIN037281
HERB004950,HBIN037940
HERB004950,HBIN038680
HERB004950,HBIN039070
HERB004950,HBIN039092
HERB004950,HBIN039386
HERB004950,HBIN039396
HERB004950,HBIN040583
HERB004950,HBIN040811
HERB004950,HBIN040905
HERB004950,HBIN040908
HERB004950,HBIN041274
HERB004950,HBIN041495
HERB004950,HBIN042162
HERB004950,HBIN042670
HERB004950,HBIN042760
HERB004950,HBIN042852
HERB004950,HBIN043437
HERB004950,HBIN043442
HERB004950,HBIN044152
HERB004950,HBIN044158
HERB004950,HBIN044730
HERB004950,HBIN044918
HERB004950,HBIN045028
HERB004950,HBIN045176
HERB004950,HBIN045516
HERB004950,HBIN045811
HERB004950,HBIN045847
HERB004950,HBIN046033
HERB004950,HBIN046052
HERB004950,HBIN046110
HERB004950,HBIN046359
HERB004950,HBIN046405
HERB004950,HBIN046860
HERB004950,HBIN047437
HERB004950,HBIN047456
HERB004950,HBIN047613
HERB004950,HBIN047744
HERB004950,HBIN048036
HERB004950,HBIN048174
HERB004950,HBIN048362
HERB005118,HBIN012725
HERB005118,HBIN013721
HERB005118,HBIN014748
HERB005118,HBIN014990
HERB005118,HBIN014997
HERB005118,HBIN016568
HERB005118,HBIN017343
HERB005118,HBIN018278
HERB005118,HBIN019296
HERB005118,HBIN019909
HERB005118,HBIN019914
HERB005118,HBIN022755
HERB005118,HBIN023837
HERB005118,HBIN024357
HERB005118,HBIN024930
HERB005118,HBIN026440
HERB005118,HBIN027450
HERB005118,HBIN029444
HERB005118,HBIN031535
HERB005118,HBIN031536
HERB005118,HBIN031538
HERB005118,HBIN031539
HERB005118,HBIN031540
HERB005118,HBIN031541
HERB005118,HBIN032754
HERB005118,HBIN032903
HERB005118,HBIN035356
HERB005118,HBIN035817
HERB005118,HBIN037220
HERB005118,HBIN038992
HERB005118,HBIN039150
HERB005118,HBIN041903
HERB005118,HBIN042015
HERB005118,HBIN042020
HERB005118,HBIN044152
HERB005118,HBIN044158
HERB005118,HBIN044918
HERB005118,HBIN045062
HERB005118,HBIN045073
HERB005118,HBIN045146
HERB005118,HBIN047579
HERB006908,HBIN002818
HERB006908,HBIN003093
HERB006908,HBIN003247
HERB006908,HBIN006480
HERB006908,HBIN015139
HERB006908,HBIN015142
HERB006908,HBIN015143
HERB006908,HBIN015151
HERB006908,HBIN015152
HERB006908,HBIN015154
HERB006908,HBIN015158
HERB006908,HBIN015485
HERB006908,HBIN020406
HERB006908,HBIN024745
HERB006908,HBIN025041
HERB006908,HBIN029444
HERB006908,HBIN036452
HERB006908,HBIN041903
HERB006908,HBIN044158
HERB006908,HBIN044730
