Ingredient_id,Target_name
HBIN014399,RRM1
HBIN014399,PNMT
HBIN014399,ME2
HBIN014399,GLUD1
HBIN014399,RTCA
HBIN014399,TRAPPC4
HBIN014399,GABRA1
HBIN014399,GPHN
HBIN014399,PLB1
HBIN014399,GRIN3A
HBIN014399,GPT2
HBIN014399,RIOX1
HBIN014399,GBA2
HBIN014399,EGLN1
HBIN014399,GNMT
HBIN014399,TREH
HBIN014399,HS3ST3A1
HBIN014399,MGAM
HBIN014399,CES2
HBIN014399,XDH
HBIN014399,TNF
HBIN014399,SOD1
HBIN014399,SI
HBIN014399,SELP
HBIN014399,REN
HBIN014399,RELA
HBIN014399,PYGL
HBIN014399,PTGS2
HBIN014399,PTGS1
HBIN014399,PTGER3
HBIN014399,POR
HBIN014399,PLA2G2A
HBIN014399,PKLR
HBIN014399,PGD
HBIN014399,PFKM
HBIN014399,PFKFB4
HBIN014399,PNP
HBIN014399,NOS2
HBIN014399,NDUFS1
HBIN014399,MPO
HBIN014399,MMP8
HBIN014399,MMP3
HBIN014399,ME1
HBIN014399,LCT
HBIN014399,IL10
HBIN014399,HMOX1
HBIN014399,HDC
HBIN014399,HADHB
HBIN014399,GUSB
HBIN014399,GSTP1
HBIN014399,GSTM1
HBIN014399,GSTA2
HBIN014399,GSTA1
HBIN014399,GSR
HBIN014399,GRIN1
HBIN014399,GPT
HBIN014399,GLUL
HBIN014399,GLB1
HBIN014399,GGT5
HBIN014399,GCH1
HBIN014399,GATM
HBIN014399,GAPDH
HBIN014399,G6PD
HBIN014399,FOS
HBIN014399,NQO1
HBIN014399,ACE
HBIN014399,CTSD
HBIN014399,CTSB
HBIN014399,CTNNB1
HBIN014399,CTH
HBIN014399,CDC25B
HBIN014399,CAT
HBIN014399,BCHE
HBIN014399,AQP4
HBIN014399,AMY2A
HBIN014399,AMD1
HBIN014399,ALOX5
HBIN014399,AKR1B1
HBIN014399,ALDH2
HBIN014399,ALAS2
HBIN014399,ALAS1
HBIN014399,ALAD
HBIN014399,ABAT
HBIN014399,AARS1
HBIN015117,MAPK14
HBIN015117,PYGM
HBIN015117,PPARG
HBIN015117,CDK2
HBIN015117,PTGS2
HBIN015117,AR
HBIN015117,CA2
HBIN015117,PIM1
HBIN015117,DPEP1
HBIN015117,NCOA2
HBIN015117,NOS2
HBIN015117,DPP4
HBIN015117,PRSS1
HBIN015117,PRSS3
HBIN015117,GSK3B
HBIN015117,ESR1
HBIN015117,CCNA2
HBIN015117,LYZ
HBIN015117,PGR
HBIN015117,ACHE
HBIN015117,NR3C2
HBIN015117,NR3C1
HBIN015117,NCOA1
HBIN015117,PTGS1
HBIN015117,ESR2
HBIN015226,PIM1
HBIN015226,RXRA
HBIN015226,GSK3B
HBIN015226,CCNA2
HBIN015226,PTGS2
HBIN015226,NOS2
HBIN015226,CHEK1
HBIN015226,PTGS1
HBIN015226,ESR1
HBIN015226,ESR2
HBIN015226,AR
HBIN015226,CDK2
HBIN015447,NCOA2
HBIN015447,ACHE
HBIN015447,CA2
HBIN015447,DPP4
HBIN015447,ESR1
HBIN015447,CHRM3
HBIN015447,GABRA1
HBIN015447,DPEP1
HBIN015447,RXRA
HBIN015447,PTGS2
HBIN015447,CHRM1
HBIN015547,PTGS2
HBIN015547,PRSS1
HBIN015547,DPP4
HBIN015547,NCOA2
