Herb_id,Ingredient_id
HERB004004,HBIN001614
HERB004004,HBIN001903
HERB004004,HBIN001948
HERB004004,HBIN001951
HERB004004,HBIN001977
HERB004004,HBIN002102
HERB004004,HBIN002161
HERB004004,HBIN002263
HERB004004,HBIN002331
HERB004004,HBIN003305
HERB004004,HBIN003405
HERB004004,HBIN003422
HERB004004,HBIN003457
HERB004004,HBIN003464
HERB004004,HBIN003487
HERB004004,HBIN003510
HERB004004,HBIN003599
HERB004004,HBIN004074
HERB004004,HBIN004200
HERB004004,HBIN005113
HERB004004,HBIN005451
HERB004004,HBIN005801
HERB004004,HBIN005911
HERB004004,HBIN008784
HERB004004,HBIN009501
HERB004004,HBIN009836
HERB004004,HBIN010106
HERB004004,HBIN011521
HERB004004,HBIN011726
HERB004004,HBIN013399
HERB004004,HBIN014684
HERB004004,HBIN014685
HERB004004,HBIN014693
HERB004004,HBIN015210
HERB004004,HBIN015211
HERB004004,HBIN015368
HERB004004,HBIN015424
HERB004004,HBIN015462
HERB004004,HBIN015469
HERB004004,HBIN015476
HERB004004,HBIN015533
HERB004004,HBIN015535
HERB004004,HBIN015547
HERB004004,HBIN015613
HERB004004,HBIN015633
HERB004004,HBIN015651
HERB004004,HBIN015667
HERB004004,HBIN015668
HERB004004,HBIN015672
HERB004004,HBIN015702
HERB004004,HBIN015724
HERB004004,HBIN015955
HERB004004,HBIN016516
HERB004004,HBIN017968
HERB004004,HBIN017987
HERB004004,HBIN017992
HERB004004,HBIN018012
HERB004004,HBIN018017
HERB004004,HBIN018033
HERB004004,HBIN018094
HERB004004,HBIN018110
HERB004004,HBIN018148
HERB004004,HBIN018183
HERB004004,HBIN018221
HERB004004,HBIN018223
HERB004004,HBIN018263
HERB004004,HBIN018266
HERB004004,HBIN018278
HERB004004,HBIN018341
HERB004004,HBIN018469
HERB004004,HBIN018535
HERB004004,HBIN019224
HERB004004,HBIN019226
HERB004004,HBIN019336
HERB004004,HBIN019475
HERB004004,HBIN019502
HERB004004,HBIN019825
HERB004004,HBIN020253
HERB004004,HBIN020406
HERB004004,HBIN020653
HERB004004,HBIN020657
HERB004004,HBIN020827
HERB004004,HBIN020962
HERB004004,HBIN020984
HERB004004,HBIN021307
HERB004004,HBIN021308
HERB004004,HBIN021765
HERB004004,HBIN021902
HERB004004,HBIN021904
HERB004004,HBIN022017
HERB004004,HBIN022407
HERB004004,HBIN022494
HERB004004,HBIN022771
HERB004004,HBIN022819
HERB004004,HBIN023190
HERB004004,HBIN023204
HERB004004,HBIN023366
HERB004004,HBIN023368
HERB004004,HBIN023588
HERB004004,HBIN023608
HERB004004,HBIN024340
HERB004004,HBIN024936
HERB004004,HBIN024957
HERB004004,HBIN024976
HERB004004,HBIN025006
HERB004004,HBIN025336
HERB004004,HBIN025465
HERB004004,HBIN025610
HERB004004,HBIN025611
HERB004004,HBIN026019
HERB004004,HBIN026067
HERB004004,HBIN026379
HERB004004,HBIN026390
HERB004004,HBIN026420
HERB004004,HBIN026800
HERB004004,HBIN026855
HERB004004,HBIN027158
HERB004004,HBIN027528
HERB004004,HBIN027539
HERB004004,HBIN027567
HERB004004,HBIN027568
HERB004004,HBIN027745
