Herb_id,Ingredient_id
HERB000267,HBIN002818
HERB000267,HBIN003176
HERB000267,HBIN003405
HERB000267,HBIN003948
HERB000267,HBIN004459
HERB000267,HBIN005687
HERB000267,HBIN007288
HERB000267,HBIN009603
HERB000267,HBIN013157
HERB000267,HBIN013837
HERB000267,HBIN014139
HERB000267,HBIN014399
HERB000267,HBIN015117
HERB000267,HBIN015226
HERB000267,HBIN015447
HERB000267,HBIN015547
HERB000267,HBIN016087
HERB000267,HBIN017212
HERB000267,HBIN018094
HERB000267,HBIN018278
HERB000267,HBIN018434
HERB000267,HBIN018781
HERB000267,HBIN018951
HERB000267,HBIN019189
HERB000267,HBIN019502
HERB000267,HBIN019918
HERB000267,HBIN019919
HERB000267,HBIN019921
HERB000267,HBIN020014
HERB000267,HBIN022570
HERB000267,HBIN022815
HERB000267,HBIN022822
HERB000267,HBIN023630
HERB000267,HBIN024875
HERB000267,HBIN024973
HERB000267,HBIN025344
HERB000267,HBIN025934
HERB000267,HBIN025940
HERB000267,HBIN026276
HERB000267,HBIN027030
HERB000267,HBIN027045
HERB000267,HBIN027547
HERB000267,HBIN028902
HERB000267,HBIN030053
HERB000267,HBIN030819
HERB000267,HBIN031753
HERB000267,HBIN032812
HERB000267,HBIN033245
HERB000267,HBIN034281
HERB000267,HBIN034504
HERB000267,HBIN034507
HERB000267,HBIN035198
HERB000267,HBIN035224
HERB000267,HBIN035297
HERB000267,HBIN035329
HERB000267,HBIN035353
HERB000267,HBIN036067
HERB000267,HBIN036159
HERB000267,HBIN036308
HERB000267,HBIN036568
HERB000267,HBIN037160
HERB000267,HBIN037195
HERB000267,HBIN037721
HERB000267,HBIN037796
HERB000267,HBIN037940
HERB000267,HBIN038494
HERB000267,HBIN038604
HERB000267,HBIN038605
HERB000267,HBIN038606
HERB000267,HBIN038627
HERB000267,HBIN038629
HERB000267,HBIN039003
HERB000267,HBIN039150
HERB000267,HBIN039199
HERB000267,HBIN039451
HERB000267,HBIN039458
HERB000267,HBIN040797
HERB000267,HBIN041268
HERB000267,HBIN041379
HERB000267,HBIN042852
HERB000267,HBIN043309
HERB000267,HBIN043442
HERB000267,HBIN043446
HERB000267,HBIN043688
HERB000267,HBIN044152
HERB000267,HBIN044158
HERB000267,HBIN044730
HERB000267,HBIN045047
HERB000267,HBIN045073
HERB000267,HBIN045975
HERB000267,HBIN046736
HERB000309,HBIN000959
HERB000309,HBIN003207
HERB000309,HBIN003599
HERB000309,HBIN010378
HERB000309,HBIN015023
HERB000309,HBIN015210
HERB000309,HBIN015368
HERB000309,HBIN015476
HERB000309,HBIN015535
HERB000309,HBIN015547
HERB000309,HBIN015590
HERB000309,HBIN015613
HERB000309,HBIN017056
HERB000309,HBIN017285
HERB000309,HBIN017286
HERB000309,HBIN017287
HERB000309,HBIN017298
HERB000309,HBIN018012
HERB000309,HBIN018110
HERB000309,HBIN018148
HERB000309,HBIN018263
HERB000309,HBIN018278
HERB000309,HBIN018397
HERB000309,HBIN020984
HERB000309,HBIN021422
HERB000309,HBIN022771
HERB000309,HBIN022819
HERB000309,HBIN023623
HERB000309,HBIN023732
HERB000309,HBIN024519
HERB000309,HBIN024535
HERB000309,HBIN025274
HERB000309,HBIN026662
HERB000309,HBIN028076
HERB000309,HBIN028546
HERB000309,HBIN029013
HERB000309,HBIN029149
HERB000309,HBIN030497
HERB000309,HBIN031326
HERB000309,HBIN031330
HERB000309,HBIN031378
HERB000309,HBIN031662
HERB000309,HBIN032456
