Ingredient_id,Target_name
HBIN007081,KDM4E
HBIN007081,SDR42E1
HBIN007081,HSD3B7
HBIN007081,UXS1
HBIN007081,CDCP1
HBIN007081,EGLN1
HBIN007081,NSDHL
HBIN007081,SIRT1
HBIN007081,SMG1
HBIN007081,TP53I3
HBIN007081,TP63
HBIN007081,PARG
HBIN007081,TRRAP
HBIN007081,PSCA
HBIN007081,XDH
HBIN007081,GFUS
HBIN007081,TP73
HBIN007081,TOP2A
HBIN007081,TOP1
HBIN007081,TNF
HBIN007081,TH
HBIN007081,STAT3
HBIN007081,SLC2A4
HBIN007081,SLC2A2
HBIN007081,SLC2A1
HBIN007081,RELA
HBIN007081,PTGS2
HBIN007081,PSMD3
HBIN007081,PROC
HBIN007081,PRKDC
HBIN007081,PIK3CG
HBIN007081,PIK3CD
HBIN007081,PIM1
HBIN007081,PIK3CB
HBIN007081,PIK3CA
HBIN007081,PIK3C3
HBIN007081,PIK3C2G
HBIN007081,PIK3C2B
HBIN007081,PIK3C2A
HBIN007081,PCK1
HBIN007081,NFE2L2
HBIN007081,MYC
HBIN007081,ABCC1
HBIN007081,MMP2
HBIN007081,MAPT
HBIN007081,SMAD1
HBIN007081,LTA
HBIN007081,KARS1
HBIN007081,JUN
HBIN007081,JAK1
HBIN007081,IL6
HBIN007081,IL1B
HBIN007081,HSD3B2
HBIN007081,HSD3B1
HBIN007081,HMOX1
HBIN007081,HIF1A
HBIN007081,GPR35
HBIN007081,GLO1
HBIN007081,FYN
HBIN007081,MTOR
HBIN007081,FLT3
HBIN007081,FBP1
HBIN007081,ESR1
HBIN007081,DNMT1
HBIN007081,CYP19A1
HBIN007081,CYP3A4
HBIN007081,CYP2C9
HBIN007081,CYP1A1
HBIN007081,CTNNB1
HBIN007081,ABCC2
HBIN007081,CDKN2C
HBIN007081,CDKN1A
HBIN007081,SCARB2
HBIN007081,SCARB1
HBIN007081,CD36
HBIN007081,CCNB1
HBIN007081,CASP9
HBIN007081,CASP8
HBIN007081,CASP3
HBIN007081,BMP2
HBIN007081,BCL2
HBIN007081,BAX
HBIN007081,ATR
HBIN007081,ATP1A1
HBIN007081,AMY2A
HBIN007081,ALOX5
HBIN007081,AKT1
HBIN007081,PARP1
HBIN007081,ACHE
HBIN038023,NR3C1
HBIN038023,AR
HBIN038023,PTPN2
HBIN038023,PTPN1
HBIN014579,CA2
HBIN014579,DPP4
HBIN014579,ACHE
HBIN014579,PIM1
HBIN014579,PTGS2
HBIN017663,PRSS1
HBIN017663,ADRA1D
HBIN017663,ADRA1B
HBIN017663,SLC6A3
HBIN017663,SLC6A2
HBIN017663,CHRM1
HBIN017663,ADRA1A
HBIN021769,ACHE
HBIN021769,NOS2
HBIN021769,PRSS1
HBIN021769,DPP4
HBIN021769,PLA2G1B
HBIN021769,PLB1
HBIN021769,IGHG1
HBIN022755,NCOA2
HBIN022755,PRSS1
HBIN022755,ACHE
HBIN022755,NOS2
HBIN022755,PTGS1
HBIN024786,SOD1
HBIN030174,AR
HBIN031406,CHEK1
HBIN031406,CHRM4
HBIN031406,ADRA1B
HBIN031406,CHRM5
HBIN031406,NOS2
HBIN031406,CHRM3
HBIN031406,PPARG
HBIN031406,DPP4
HBIN031406,PIM1
HBIN031406,CDK2
HBIN031406,ESR2
HBIN031406,ESR1
HBIN031406,GSK3B
HBIN031406,CCNA2
HBIN031406,ADRA1D
HBIN031406,MAPK14
HBIN031406,SLC6A4
HBIN031406,SLC6A3
HBIN031406,SCN5A
HBIN031406,RXRA
HBIN031406,PTGS2
HBIN031406,PTGS1
HBIN031406,OPRM1
HBIN031406,OPRD1
HBIN031406,CHRM1
HBIN031406,AR
HBIN031406,ADRB2
HBIN031406,ADRA1A
HBIN031406,ACHE
HBIN035296,DPP4
HBIN035296,PTGS2
HBIN035296,NCOA2
HBIN035296,PTGS1
HBIN035296,ACHE
HBIN035296,RXRA
HBIN035296,ESR1
HBIN035296,PPARG
HBIN037094,CHRM3
HBIN037094,ADRA1B
HBIN037094,PDE3A
HBIN037094,CHRM2
HBIN037094,ADRA2B
HBIN037094,DPEP1
HBIN037094,PRSS1
HBIN037094,LTA4H
HBIN037094,DPP4
HBIN037094,ADRA2C
HBIN037094,PKIA
HBIN037094,ADRA1D
HBIN037094,DRD1
HBIN037094,SLC6A4
HBIN037094,SLC6A3
HBIN037094,SLC6A2
HBIN037094,SCN5A
HBIN037094,PTGS2
HBIN037094,PTGS1
HBIN037094,MAOB
HBIN037094,MAOA
HBIN037094,CHRM1
HBIN037094,ADRB2
HBIN037094,ADRB1
HBIN037094,ADRA2A
HBIN037094,ADRA1A
HBIN038680,ACHE
HBIN038680,DPP4
HBIN038680,NOS2
HBIN038680,PRSS1
HBIN038680,RHO
HBIN038680,PPARG
HBIN038680,NCOA2
HBIN038680,GUSBP1
HBIN038680,TNF
HBIN038680,SLC22A5
HBIN038680,PTGS2
HBIN038680,PTGS1
HBIN038680,PTEN
HBIN038680,POLD1
HBIN038680,PCYT1A
HBIN038680,MYC
HBIN038680,IL10
HBIN038680,IGHG1
HBIN038680,CTSD
HBIN038680,COL1A1
HBIN038680,CDK4
HBIN038680,BCL2
HBIN038680,CCND1
HBIN046960,DPP4
HBIN046960,PPARG
HBIN046960,F7
HBIN046960,CA2
HBIN046960,NCOA2
HBIN046960,MAPK14
HBIN046960,CCNA2
HBIN046960,PIM1
HBIN046960,DPEP1
HBIN046960,SULT1E1
HBIN046960,SCN5A
HBIN046960,PTGS2
HBIN046960,PTGS1
HBIN046960,PRSS1
HBIN046960,NOS2
HBIN046960,GSK3B
HBIN046960,ESR2
HBIN046960,ESR1
HBIN046960,CDK2
HBIN046960,CALM3
HBIN046960,AR
HBIN048481,MAOB
HBIN001584,GABRA1
HBIN001584,PRSS1
HBIN001584,ACHE
HBIN002579,D2HGDH
HBIN002579,LDHD
