"NodeNames","Score"
"HBIN019690",0.0114994719683581
"HBIN014685",0.00992953773317196
"HERB002560",0.00469790286172346
"HBIN018100",0.00431717238744224
"HBIN017246",0.00299761261024844
"HERB001210",0.00117979369636484
"HBIN021985",0.000814955853446122
"HBIN014399",0.000776395267612078
"HBIN019425",0.00073871942136244
"HBIN045073",0.000728289963920181
"HBIN021608",0.000686278630787262
"HBIN022577",0.000634468483291339
"HBIN018163",0.000464286751971996
"HBIN008361",0.000425327886572066
"HBIN037272",0.000393747526241838
"HBIN033339",0.000391472617198567
"HBIN041495",0.000320986524801339
"HBIN020406",0.00028245320426456
"HBIN040811",0.000243901480612176
"HBIN041916",0.000225120839667468
"HBIN036162",0.000177758856684267
"HBIN034596",0.000169061398692044
"HBIN039001",0.000169061398692044
"HBIN033751",0.000132982125505792
"HBIN013410",0.000127868005426098
"HBIN045062",0.000112922922111674
"HBIN019786",0.00010291201219431
"HBIN018006",9.77855909366153e-05
"HBIN026662",9.65240459202047e-05
"HBIN028048",8.71037560582127e-05
"HBIN016087",7.90287423550837e-05
"HBIN031753",7.32378546089178e-05
"HBIN042670",5.27824052151947e-05
"HBIN018278",4.66732836462789e-05
"HBIN029419",3.83330290845829e-05
"HBIN030532",3.64241948285632e-05
"HBIN038680",3.63676194320733e-05
"HBIN007848",3.5949820186162e-05
"HBIN031114",3.23216935916435e-05
"HBIN044265",2.90531759661374e-05
"HBIN036907",2.87390343060248e-05
"HBIN027103",2.72218162754116e-05
"HBIN015117",2.65412245967641e-05
"HBIN021802",2.61920767583568e-05
"HBIN018494",2.55101207693761e-05
"HBIN044433",2.53910802708443e-05
"HBIN047005",2.40669155704037e-05
"HBIN014684",2.38856324562202e-05
"HBIN026468",2.3282623148733e-05
"HBIN032676",2.31977791486065e-05
"HBIN035847",2.31662259687607e-05
"HBIN042162",2.3017536312988e-05
"HBIN048715",2.30076592912949e-05
"HBIN023522",2.28634125446296e-05
"HBIN031446",2.27802306776762e-05
"HBIN020909",2.24600101458703e-05
"HBIN002016",2.24211762734963e-05
"HBIN047579",2.21264378769002e-05
"HBIN028847",2.21131480896404e-05
"HBIN024930",2.20726106839804e-05
"HBIN003405",2.18603456399557e-05
"HBIN030735",2.13293569387053e-05
"HBIN038168",2.13097358548496e-05
"HBIN029382",2.10195870957797e-05
"HBIN026537",2.05867657534697e-05
"HBIN045261",2.05618781820567e-05
"HBIN019296",2.02670592032195e-05
"HBIN029163",2.00586421963756e-05
"HBIN047738",1.99620438208911e-05
"HBIN018094",1.99440161078199e-05
"HBIN026332",1.97179050586787e-05
"HBIN047744",1.97145857493308e-05
"HBIN037807",1.9542438135127e-05
"HBIN044152",1.93851035750103e-05
"HBIN034625",1.92974939818586e-05
"HBIN034281",1.92268051568154e-05
"HBIN008668",1.92096448289859e-05
"HBIN016564",1.90163553588459e-05
"HBIN008647",1.89473314324913e-05
"HBIN033749",1.89327074100027e-05
"HBIN044303",1.89327074100027e-05
"HBIN001244",1.89233239761521e-05
"HBIN006743",1.88665131987204e-05
"HBIN032456",1.88641024431335e-05
"HBIN044426",1.88483830174352e-05
"HBIN044442",1.88483830174352e-05
"HBIN024357",1.87814073556768e-05
"HBIN042168",1.87281694173656e-05
"HBIN017244",1.86836439171274e-05
"HBIN027609",1.86126002800181e-05
"HBIN018952",1.76339315866968e-05
"HBIN008383",1.68189263661224e-05
"HBIN002579",1.56667317369449e-05
"HBIN036308",1.54353970789762e-05
"HBIN044918",1.31595161717486e-05
"HBIN035120",1.13900952359281e-05
"HBIN021168",9.96767971478288e-06
"HBIN011869",9.62271354114849e-06
"HBIN030728",9.36707241450026e-06
"HBIN045071",9.14965102453846e-06
"HBIN033245",7.26997281308172e-06
"HBIN011719",6.8745157903794e-06
"HBIN029013",6.83840140686462e-06
"HBIN018019",6.82643053674946e-06
