Syndrome_id,SYMBOL
Syndrome 1,A2M
Syndrome 1,A2ML1
Syndrome 1,ABCC4
Syndrome 1,ABL1
Syndrome 1,ACE
Syndrome 1,ACOX1
Syndrome 1,ACTA1
Syndrome 1,ACTB
Syndrome 1,ACTC1
Syndrome 1,ACTG1
Syndrome 1,ACTG2
Syndrome 1,ADAMTS13
Syndrome 1,ADGRG2
Syndrome 1,ADGRG6
Syndrome 1,AGA
Syndrome 1,ALB
Syndrome 1,AMHR2
Syndrome 1,AMPD1
Syndrome 1,AMPD2
Syndrome 1,APAF1
Syndrome 1,C4A
Syndrome 1,C4B
Syndrome 1,C6
Syndrome 1,C8A
Syndrome 1,C8B
Syndrome 1,CA12
Syndrome 1,CA4
Syndrome 1,CA5A
Syndrome 1,CA8
Syndrome 1,CALCA
Syndrome 1,CALR3
Syndrome 1,CASQ1
Syndrome 1,CASQ2
Syndrome 1,CD4
Syndrome 1,CEL
Syndrome 1,CFH
Syndrome 1,CHRNA1
Syndrome 1,CHRNA4
Syndrome 1,CHRNA6
Syndrome 1,CHRNA9
Syndrome 1,CHRNB1
Syndrome 1,CHRNB2
Syndrome 1,CHRND
Syndrome 1,CHRNE
Syndrome 1,CHRNG
Syndrome 1,COL10A1
Syndrome 1,COL11A1
Syndrome 1,COL14A1
Syndrome 1,COL17A1
Syndrome 1,COL18A1
Syndrome 1,COL25A1
Syndrome 1,COL27A1
Syndrome 1,COL4A5
Syndrome 1,COL4A6
Syndrome 1,COL5A2
Syndrome 1,COL6A1
Syndrome 1,COL7A1
Syndrome 1,COL9A1
Syndrome 1,COL9A2
Syndrome 1,COL9A3
Syndrome 1,CPT1A
Syndrome 1,CSF2RB
Syndrome 1,CUBN
Syndrome 1,DCC
Syndrome 1,DPP6
Syndrome 1,EFNB1
Syndrome 1,EIF2AK4
Syndrome 1,ENPP1
Syndrome 1,EPOR
Syndrome 1,ERAP1
Syndrome 1,ERBB4
Syndrome 1,FAM20A
Syndrome 1,FAM20C
Syndrome 1,FAS
Syndrome 1,FCGR3A
Syndrome 1,FCN3
Syndrome 1,FGA
Syndrome 1,FGG
Syndrome 1,FLT1
Syndrome 1,FLT4
Syndrome 1,FN1
Syndrome 1,FSHR
Syndrome 1,FUCA1
Syndrome 1,GABBR1
Syndrome 1,GABRB3
Syndrome 1,GALC
Syndrome 1,GAPDH
Syndrome 1,GLA
Syndrome 1,GLUD1
Syndrome 1,GRIA1
Syndrome 1,GRIK2
Syndrome 1,GRIN2A
Syndrome 1,HCRT
Syndrome 1,HEXA
Syndrome 1,HEXB
Syndrome 1,HK1
Syndrome 1,HLA-A
Syndrome 1,HLA-DQA1
Syndrome 1,HLA-DRB1
Syndrome 1,HRG
Syndrome 1,HSD3B2
Syndrome 1,HYAL1
Syndrome 1,IGF1
Syndrome 1,IGF1R
Syndrome 1,IGF2R
Syndrome 1,IL12A
Syndrome 1,IL12B
Syndrome 1,IL21
Syndrome 1,IL21R
Syndrome 1,IL2RB
Syndrome 1,IL2RG
Syndrome 1,ITGA2
Syndrome 1,ITGA2B
Syndrome 1,ITGA4
Syndrome 1,ITGA5
Syndrome 1,ITGB1
Syndrome 1,JAK1
Syndrome 1,JAK2
Syndrome 1,KCNE1
Syndrome 1,KCNQ1
Syndrome 1,KIRREL3
Syndrome 1,KIT
Syndrome 1,LAMA1
Syndrome 1,LAMA2
Syndrome 1,LAMA3
Syndrome 1,LAMB1
Syndrome 1,LAMB2
Syndrome 1,LAMB3
Syndrome 1,LCT
Syndrome 1,LGALS1
Syndrome 1,LMAN2L
Syndrome 1,MAN2B1
Syndrome 1,MAP3K7
Syndrome 1,MASP1
Syndrome 1,MEFV
Syndrome 1,MINPP1
Syndrome 1,MMP7
Syndrome 1,MR1
Syndrome 1,NECTIN1
Syndrome 1,NGF
Syndrome 1,NPC1
Syndrome 1,NRP1
Syndrome 1,NRXN1
Syndrome 1,NSD1
Syndrome 1,NTNG1
Syndrome 1,NTRK1
Syndrome 1,OCLN
Syndrome 1,P2RX1
Syndrome 1,PDGFRL
Syndrome 1,PIGG
Syndrome 1,PIGN
Syndrome 1,PLAUR
Syndrome 1,PLN
Syndrome 1,PNPO
Syndrome 1,POLR1C
Syndrome 1,POLR3A
Syndrome 1,POMC
Syndrome 1,RELN
Syndrome 1,RNF135
Syndrome 1,RPS6KA3
Syndrome 1,RXRB
Syndrome 1,SCP2
Syndrome 1,SEMA3D
Syndrome 1,SEMA3E
Syndrome 1,SEMA4A
Syndrome 1,SEMA5A
Syndrome 1,SERPIND1
Syndrome 1,SI
Syndrome 1,SLC12A2
Syndrome 1,SLC3A1
Syndrome 1,SP110
Syndrome 1,TACR1
Syndrome 1,TEK
Syndrome 1,TGFA
Syndrome 1,TGFBR2
Syndrome 1,TNFRSF1A
Syndrome 1,TPP2
Syndrome 1,TRPV3
Syndrome 1,TSHR
Syndrome 1,TWIST1
Syndrome 1,USH2A
Syndrome 1,WNT5A
Syndrome 1,XPR1
Syndrome 1,XYLT2
Syndrome 1,DFFA
Syndrome 1,AMY1C
Syndrome 1,BIRC2
Syndrome 1,MBP
Syndrome 1,FABP4
Syndrome 1,FABP5
Syndrome 1,GYPA
Syndrome 1,PTPRG
Syndrome 1,PSMG1
Syndrome 1,TAC1
Syndrome 1,TRIM26
Syndrome 1,SPI1
Syndrome 1,TNFRSF10A
Syndrome 1,CFLAR
Syndrome 1,INMT
Syndrome 1,LILRB1
Syndrome 1,NOX3
Syndrome 1,VTCN1
Syndrome 1,PSORS1C2
Syndrome 1,FCGR2A
Syndrome 1,ACSL3
Syndrome 1,ACTBL2
Syndrome 1,ACTL10
Syndrome 1,ACTL6A
Syndrome 1,ACTL6B
Syndrome 1,ACTL7A
Syndrome 1,ACTL7B
Syndrome 1,ACTL8
Syndrome 1,ACTL9
Syndrome 1,ACTR10
Syndrome 1,ACTR1A
Syndrome 1,ACTR1B
Syndrome 1,ACTR2
Syndrome 1,ACTR3
Syndrome 1,ACTR3B
Syndrome 1,ACTR3C
Syndrome 1,ACTR8
Syndrome 1,ACTRT1
Syndrome 1,ACTRT2
Syndrome 1,ACTRT3
Syndrome 1,ACVR2A
Syndrome 1,ADAM33
Syndrome 1,ADGRD1
Syndrome 1,ADGRD2
Syndrome 1,ADGRE1
Syndrome 1,ADGRE3
Syndrome 1,ADGRF1
Syndrome 1,ADGRF2
Syndrome 1,ADGRF3
Syndrome 1,ADGRF4
Syndrome 1,ADGRF5
Syndrome 1,ADGRG3
Syndrome 1,ADGRG4
Syndrome 1,ADGRG5
Syndrome 1,ADGRG7
Syndrome 1,ADGRL1
Syndrome 1,ADGRL2
Syndrome 1,ADGRL3
Syndrome 1,ADGRL4
Syndrome 1,AGTPBP1
Syndrome 1,AMIGO1
Syndrome 1,AMIGO2
Syndrome 1,AMPD3
Syndrome 1,ANGPT2
Syndrome 1,APCS
Syndrome 1,ARTN
Syndrome 1,ATF4
Syndrome 1,ATG3
Syndrome 1,ATG5
Syndrome 1,AZGP1
Syndrome 1,BANP
Syndrome 1,BATF2
Syndrome 1,BIRC8
Syndrome 1,BNIP2
Syndrome 1,CA10
Syndrome 1,CA11
Syndrome 1,CA14
Syndrome 1,CA3
Syndrome 1,CA5B
Syndrome 1,CA6
Syndrome 1,CA7
Syndrome 1,CALCB
Syndrome 1,CASP4
Syndrome 1,CBR3
Syndrome 1,CD2
Syndrome 1,CD276
Syndrome 1,CD46
Syndrome 1,CFL1
Syndrome 1,CGA
Syndrome 1,CHGA
Syndrome 1,CHRFAM7A
Syndrome 1,CHRNA10
Syndrome 1,CHRNA3
Syndrome 1,CHRNA5
Syndrome 1,CHRNB3
Syndrome 1,CHRNB4
Syndrome 1,CLC
Syndrome 1,COL16A1
Syndrome 1,COL20A1
Syndrome 1,COL22A1
Syndrome 1,COL23A1
Syndrome 1,COL24A1
Syndrome 1,COL5A3
Syndrome 1,COL6A5
Syndrome 1,COL6A6
Syndrome 1,COX5A
Syndrome 1,CSF1
Syndrome 1,CSF2RA
Syndrome 1,CTSE
Syndrome 1,CXADR
Syndrome 1,DBNL
Syndrome 1,DCP2
