Ingredient_id,Target_name
HBIN001584,GABRA1
HBIN001584,PRSS1
HBIN001584,ACHE
HBIN002579,D2HGDH
HBIN002579,LDHD
HBIN002579,FAR1
HBIN002579,FAR2
HBIN002579,AGPS
HBIN002579,GNPAT
HBIN002579,DHCR24
HBIN003405,ESR1
HBIN003405,NR3C2
HBIN003405,AR
HBIN004555,ACHE
HBIN004555,PRSS1
HBIN004555,CA2
HBIN006852,ADRA1B
HBIN006852,PDE3A
HBIN006852,CA2
HBIN006852,DPEP1
HBIN006852,NOS2
HBIN006852,GABRA1
HBIN006852,PKIA
HBIN006852,LTA4H
HBIN006852,SLC6A4
HBIN006852,SLC6A3
HBIN006852,SLC6A2
HBIN006852,PTGS2
HBIN006852,PTGS1
HBIN006852,MAOB
HBIN006852,ESR1
HBIN006852,CHRM1
HBIN006852,ADRB2
HBIN006852,ADRB1
HBIN007446,PRSS1
HBIN008360,ESR1
HBIN008360,GABRA1
HBIN008360,ADRA2B
HBIN008360,DPP4
HBIN008360,CDK2
HBIN008360,DPEP1
HBIN008360,NOS2
HBIN008360,PPARG
HBIN008360,SLC6A4
HBIN008360,SLC6A2
HBIN008360,PTGS2
HBIN008360,PTGS1
HBIN008360,MAOB
HBIN008360,CHRM1
HBIN008360,ADRB2
HBIN008361,HNRNPA3
HBIN008361,CYCS
HBIN008361,SF3B3
HBIN008361,AIFM1
HBIN008361,WAS
HBIN008361,TUFM
HBIN008361,TPT1
HBIN008361,TP53
HBIN008361,PSMD11
HBIN008361,PSMA1
HBIN008361,PRPS1
HBIN008361,PPP2R1A
HBIN008361,PHB
HBIN008361,PGK1
HBIN008361,PCNA
HBIN008361,YBX1
HBIN008361,NME1
HBIN008361,NCL
HBIN008361,MKI67
HBIN008361,MIF
HBIN008361,LDHA
HBIN008361,RPSA
HBIN008361,HSP90AB1
HBIN008361,HSPA5
HBIN008361,HNRNPF
HBIN008361,HNRNPD
HBIN008361,SFN
HBIN008361,GOT1
HBIN008361,FUS
HBIN008361,ERN1
HBIN008361,ENO1
HBIN008361,ELAVL1
HBIN008361,EIF4A1
HBIN008361,EEF2
HBIN008361,EEF1A2
HBIN008361,EEF1A1
HBIN008361,DDIT3
HBIN008361,CDKN1A
HBIN008361,CDK6
HBIN008361,CDK4
HBIN008361,CDK2
HBIN008361,CCNE1
HBIN008361,CALR
HBIN008361,C1QBP
HBIN008361,BIK
HBIN008361,CCND1
HBIN008361,BAX
HBIN008361,ATP5F1B
HBIN008361,ATP5F1A
HBIN008361,ARHGDIA
HBIN008361,ARHGAP1
HBIN008361,FAS
HBIN008361,ANXA5
HBIN008383,SPP1
HBIN008383,COL1A1
HBIN010673,PRSS1
HBIN010673,CTSD
HBIN011719,PRSS1
HBIN011719,LYZ
HBIN011719,KCNK5
HBIN011719,TNF
HBIN011719,GSTP1
HBIN011719,GSTM1
HBIN011719,CYP3A4
HBIN011719,CYP2C8
HBIN011719,CLCNKB
HBIN011869,ADRA1D
HBIN011869,DRD1
HBIN011869,ADRA1B
HBIN011869,CA2
HBIN011869,GSK3B
HBIN011869,NOS2
HBIN011869,DPP4
HBIN011869,PDE3A
HBIN011869,OPRM1
HBIN011869,ACHE
HBIN011869,PTGS2
HBIN011869,ESR1
HBIN011869,CHRM1
HBIN011869,CDK2
HBIN011869,AR
HBIN011869,GABRA1
HBIN011869,ESR2
HBIN011869,PTGS1
HBIN011869,CHRNA7
HBIN011869,SCN5A
HBIN011869,ADRB2
HBIN011869,PIM1
HBIN011869,RXRA
HBIN012338,LYZ
HBIN012338,CA2
HBIN012338,PRSS1
HBIN012667,AR
HBIN012667,CDK2
HBIN012667,PRSS1
HBIN012667,DPEP1
HBIN012667,CA2
HBIN012667,PPARG
HBIN012667,ESR1
HBIN012667,GSK3B
HBIN012667,CCNA2
HBIN012667,DPP4
HBIN012857,PTGS2
HBIN012857,PTGS1
HBIN012857,PPARG
HBIN012857,ACHE
HBIN012857,NOS2
HBIN012857,RXRA
HBIN012857,CA2
HBIN013503,AR
HBIN013503,PRSS1
HBIN013503,CHRM3
HBIN013503,NR3C1
HBIN013503,CHRM2
HBIN014593,PRSS1
HBIN014593,CHRNA2
HBIN014593,DPP4
HBIN014593,ADRA1B
HBIN014593,ACHE
HBIN014593,DPEP1
HBIN014593,ADRA1D
HBIN014593,GABRA1
HBIN014593,ESR1
HBIN014593,CHRM2
HBIN014593,NCOA2
HBIN014593,CHRM3
HBIN014593,CA2
HBIN014593,SLC6A3
HBIN014593,SLC6A2
HBIN014593,RXRA
HBIN014593,PTGS2
HBIN014593,PTGS1
HBIN014593,CHRM1
HBIN014593,ADRA1A
HBIN014684,CDK2
HBIN014684,AHCYL1
HBIN014684,PNP
HBIN014685,NPY4R2
HBIN014685,MTRNR2L12
HBIN014685,CCR2
HBIN014685,OPN1MW2
HBIN014685,ACTR3C
HBIN014685,POTEJ
HBIN014685,POTEI
HBIN014685,NPS
HBIN014685,POTEE
HBIN014685,NPSR1
HBIN014685,TAS2R42
HBIN014685,GPR142
HBIN014685,GNAT3
HBIN014685,ACTBL2
HBIN014685,GPR148
HBIN014685,RXFP4
HBIN014685,FFAR4
HBIN014685,HCAR2
HBIN014685,TAS2R60
HBIN014685,TAAR6
HBIN014685,GPR150
HBIN014685,ACTL9
HBIN014685,NPW
HBIN014685,TAS2R50
HBIN014685,TAS2R20
HBIN014685,TAS2R19
HBIN014685,TAS2R30
HBIN014685,TAS2R46
HBIN014685,TAS2R31
HBIN014685,TAS2R43
HBIN014685,TAS2R41
HBIN014685,TAS2R40
HBIN014685,TAS2R39
HBIN014685,NPB
HBIN014685,SLC29A4
HBIN014685,OPN5
HBIN014685,ACTL10
HBIN014685,OXER1
HBIN014685,ADAL
HBIN014685,SLC5A8
HBIN014685,SLC5A12
HBIN014685,GPBAR1
HBIN014685,ACTRT2
HBIN014685,GPR119
HBIN014685,ACTRT1
HBIN014685,TAAR1
HBIN014685,GPR151
HBIN014685,NMS
HBIN014685,PROKR2
HBIN014685,GPR139
HBIN014685,RXFP2
HBIN014685,GPR62
HBIN014685,PCMTD1
HBIN014685,NT5C3B
HBIN014685,ADAT3
HBIN014685,PTH2
HBIN014685,OPN4
HBIN014685,ACTR8
HBIN014685,NT5C1B
HBIN014685,MARS2
HBIN014685,HINT2
HBIN014685,KISS1R
