Ingredient_id,Target_name
HBIN000959,AR
HBIN000959,NR3C1
HBIN003207,DPP4
HBIN003207,PRSS1
HBIN003207,GABRA1
HBIN003207,CHRM2
HBIN003207,CHRM1
HBIN003599,AR
HBIN003599,ACHE
HBIN003599,CHRM3
HBIN003599,GABRA1
HBIN003599,CHRM2
HBIN003599,ESR1
HBIN003599,PRSS1
HBIN003599,NOS2
HBIN003599,CHRNA7
HBIN003599,DPP4
HBIN003599,CHRM4
HBIN003599,CDK2
HBIN003599,SLC6A4
HBIN003599,SLC6A2
HBIN003599,GRIA2
HBIN003599,CHRM1
HBIN003599,ADRB2
HBIN010378,ADRA1B
HBIN010378,PKIA
HBIN010378,PIM1
HBIN010378,PPARG
HBIN010378,ESR1
HBIN010378,LTA4H
HBIN010378,CDK2
HBIN010378,CHEK1
HBIN010378,CA2
HBIN010378,GABRA1
HBIN010378,DPP4
HBIN010378,CHRM3
HBIN010378,DPEP1
HBIN010378,PDE3A
HBIN010378,CCNA2
HBIN010378,NOS2
HBIN010378,MAPK14
HBIN010378,SLC6A4
HBIN010378,SLC6A3
HBIN010378,SCN5A
HBIN010378,RXRA
HBIN010378,PTGS2
HBIN010378,PTGS1
HBIN010378,MAOB
HBIN010378,GRIA2
HBIN010378,CHRM1
HBIN010378,ADRB2
HBIN010378,ADRB1
HBIN010378,ADRA2A
HBIN015023,NOS2
HBIN015023,MAPK14
HBIN015023,NCOA2
HBIN015023,PTGS2
HBIN015023,PTGS1
HBIN015023,MAOB
HBIN015210,CHRM3
HBIN015210,GABRA1
HBIN015210,DPP4
HBIN015210,ACHE
HBIN015210,CHRM2
HBIN015210,CHRNA2
HBIN015210,CHRM1
HBIN015368,CHEK1
HBIN015368,CCNA2
HBIN015368,MAPK14
HBIN015368,AR
HBIN015368,PIM1
HBIN015368,MAPK10
HBIN015368,GSK3B
HBIN015368,NR3C1
HBIN015368,ESR1
HBIN015368,PGR
HBIN015368,DPP4
HBIN015368,PPARG
HBIN015368,ESR2
HBIN015368,CDK2
HBIN015368,RELA
HBIN015368,PTGS2
HBIN015368,MAPK1
HBIN015368,PRKCB
