Herb_id,Ingredient_id
HERB000225,HBIN010510
HERB000225,HBIN018278
HERB000225,HBIN036036
HERB000225,HBIN044060
HERB000330,HBIN002693
HERB000330,HBIN004383
HERB000330,HBIN006867
HERB000330,HBIN007288
HERB000330,HBIN011351
HERB000330,HBIN011899
HERB000330,HBIN012818
HERB000330,HBIN013853
HERB000330,HBIN014684
HERB000330,HBIN014693
HERB000330,HBIN016080
HERB000330,HBIN016201
HERB000330,HBIN017056
HERB000330,HBIN017408
HERB000330,HBIN017508
HERB000330,HBIN017516
HERB000330,HBIN018084
HERB000330,HBIN018094
HERB000330,HBIN018278
HERB000330,HBIN018293
HERB000330,HBIN019188
HERB000330,HBIN019298
HERB000330,HBIN019475
HERB000330,HBIN019948
HERB000330,HBIN019986
HERB000330,HBIN020014
HERB000330,HBIN020363
HERB000330,HBIN020367
HERB000330,HBIN020406
HERB000330,HBIN020909
HERB000330,HBIN020994
HERB000330,HBIN021356
HERB000330,HBIN021801
HERB000330,HBIN022145
HERB000330,HBIN022295
HERB000330,HBIN022387
HERB000330,HBIN022536
HERB000330,HBIN022584
HERB000330,HBIN022771
HERB000330,HBIN024357
HERB000330,HBIN024535
HERB000330,HBIN024565
HERB000330,HBIN024821
HERB000330,HBIN024930
HERB000330,HBIN024936
HERB000330,HBIN025943
HERB000330,HBIN025965
HERB000330,HBIN026468
HERB000330,HBIN026881
HERB000330,HBIN027030
HERB000330,HBIN027103
HERB000330,HBIN028076
HERB000330,HBIN028309
HERB000330,HBIN028546
HERB000330,HBIN028549
HERB000330,HBIN028587
HERB000330,HBIN029074
HERB000330,HBIN029260
HERB000330,HBIN029444
HERB000330,HBIN029497
HERB000330,HBIN029645
HERB000330,HBIN029685
HERB000330,HBIN030843
HERB000330,HBIN031378
HERB000330,HBIN032456
HERB000330,HBIN032992
HERB000330,HBIN033218
HERB000330,HBIN033339
HERB000330,HBIN033432
HERB000330,HBIN033602
HERB000330,HBIN033609
HERB000330,HBIN033890
HERB000330,HBIN035354
HERB000330,HBIN035605
HERB000330,HBIN035812
HERB000330,HBIN036780
HERB000330,HBIN037250
HERB000330,HBIN037343
HERB000330,HBIN037812
HERB000330,HBIN038026
HERB000330,HBIN038091
HERB000330,HBIN038680
HERB000330,HBIN039040
HERB000330,HBIN039150
HERB000330,HBIN040905
HERB000330,HBIN040908
HERB000330,HBIN041495
HERB000330,HBIN041726
HERB000330,HBIN042172
HERB000330,HBIN043442
HERB000330,HBIN044152
HERB000330,HBIN044676
HERB000330,HBIN044730
HERB000330,HBIN044918
HERB000330,HBIN045032
HERB000330,HBIN045062
HERB000330,HBIN046315
HERB000330,HBIN046359
HERB000330,HBIN046380
HERB000330,HBIN047561
HERB000330,HBIN047738
HERB000330,HBIN048344
HERB000330,HBIN048368
HERB001779,HBIN000391
HERB001779,HBIN002087
HERB001779,HBIN002089
HERB001779,HBIN002095
HERB001779,HBIN002717
