Herb_id,Ingredient_id
HERB001749,HBIN002911
HERB001749,HBIN003405
HERB001749,HBIN005867
HERB001749,HBIN006367
HERB001749,HBIN008225
HERB001749,HBIN014684
HERB001749,HBIN015117
HERB001749,HBIN017968
HERB001749,HBIN018094
HERB001749,HBIN018129
HERB001749,HBIN019688
HERB001749,HBIN019691
HERB001749,HBIN019948
HERB001749,HBIN020146
HERB001749,HBIN020260
HERB001749,HBIN020406
HERB001749,HBIN024936
HERB001749,HBIN025006
HERB001749,HBIN025012
HERB001749,HBIN025543
HERB001749,HBIN025553
HERB001749,HBIN025557
HERB001749,HBIN025920
HERB001749,HBIN025922
HERB001749,HBIN027030
HERB001749,HBIN027745
HERB001749,HBIN027746
HERB001749,HBIN028847
HERB001749,HBIN029074
HERB001749,HBIN029260
HERB001749,HBIN032754
HERB001749,HBIN033339
HERB001749,HBIN033777
HERB001749,HBIN036159
HERB001749,HBIN038026
HERB001749,HBIN038555
HERB001749,HBIN038556
HERB001749,HBIN038558
HERB001749,HBIN038680
HERB001749,HBIN039207
HERB001749,HBIN040509
HERB001749,HBIN040570
HERB001749,HBIN040573
HERB001749,HBIN040575
HERB001749,HBIN040578
HERB001749,HBIN041751
HERB001749,HBIN041752
HERB001749,HBIN044730
HERB001749,HBIN046625
HERB001749,HBIN047126
HERB001749,HBIN047345
HERB001749,HBIN047546
HERB002483,HBIN006701
HERB002483,HBIN006849
HERB002483,HBIN009284
HERB002483,HBIN010875
HERB002483,HBIN011806
HERB002483,HBIN014399
HERB002483,HBIN014475
HERB002483,HBIN017364
HERB002483,HBIN017893
HERB002483,HBIN017897
HERB002483,HBIN017968
HERB002483,HBIN018094
HERB002483,HBIN018247
HERB002483,HBIN018278
HERB002483,HBIN019307
HERB002483,HBIN019475
HERB002483,HBIN019540
HERB002483,HBIN019614
HERB002483,HBIN019688
HERB002483,HBIN019986
HERB002483,HBIN020270
HERB002483,HBIN021138
HERB002483,HBIN021292
HERB002483,HBIN021357
HERB002483,HBIN021430
HERB002483,HBIN021673
HERB002483,HBIN022782
HERB002483,HBIN023084
HERB002483,HBIN023184
HERB002483,HBIN023522
HERB002483,HBIN023700
HERB002483,HBIN023936
HERB002483,HBIN025897
HERB002483,HBIN026062
HERB002483,HBIN026067
HERB002483,HBIN026335
HERB002483,HBIN026465
HERB002483,HBIN026468
HERB002483,HBIN026766
HERB002483,HBIN026829
HERB002483,HBIN026872
HERB002483,HBIN026881
HERB002483,HBIN028514
HERB002483,HBIN028522
HERB002483,HBIN029428
HERB002483,HBIN029429
HERB002483,HBIN029485
HERB002483,HBIN029523
HERB002483,HBIN029831
HERB002483,HBIN030613
HERB002483,HBIN030735
HERB002483,HBIN031340
HERB002483,HBIN031499
HERB002483,HBIN031501
HERB002483,HBIN033253
HERB002483,HBIN033428
HERB002483,HBIN034216
HERB002483,HBIN034220
HERB002483,HBIN034524
HERB002483,HBIN034673
HERB002483,HBIN034738
HERB002483,HBIN034739
HERB002483,HBIN035099
HERB002483,HBIN035129
HERB002483,HBIN035317
HERB002483,HBIN035353
HERB002483,HBIN035605
HERB002483,HBIN036067
HERB002483,HBIN036308
HERB002483,HBIN036984
HERB002483,HBIN037087
HERB002483,HBIN037254
HERB002483,HBIN037294
HERB002483,HBIN037372
HERB002483,HBIN037638
HERB002483,HBIN037640
HERB002483,HBIN037642
HERB002483,HBIN037644
HERB002483,HBIN037713
HERB002483,HBIN037940
HERB002483,HBIN038026
HERB002483,HBIN038459
HERB002483,HBIN038627
HERB002483,HBIN038666
HERB002483,HBIN038680
HERB002483,HBIN039014
HERB002483,HBIN039150
HERB002483,HBIN039185
HERB002483,HBIN039438
HERB002483,HBIN039439
HERB002483,HBIN039451
HERB002483,HBIN039544
HERB002483,HBIN039584
HERB002483,HBIN040005
HERB002483,HBIN040583
HERB002483,HBIN041152
HERB002483,HBIN041495
HERB002483,HBIN042657
HERB002483,HBIN042670
HERB002483,HBIN042712
HERB002483,HBIN042875
HERB002483,HBIN043289
HERB002483,HBIN043309
HERB002483,HBIN044152
HERB002483,HBIN044179
HERB002483,HBIN044226
HERB002483,HBIN044730
HERB002483,HBIN044918
HERB002483,HBIN044961
HERB002483,HBIN045252
HERB002483,HBIN046078
HERB002483,HBIN046198
HERB002483,HBIN046657
HERB002483,HBIN047613
HERB002483,HBIN047744
HERB002483,HBIN047752
HERB002483,HBIN048368
HERB002483,HBIN048396
HERB004013,HBIN003176
HERB004013,HBIN007288
HERB004013,HBIN007867
HERB004013,HBIN008663
HERB004013,HBIN011060
HERB004013,HBIN012422
HERB004013,HBIN016494
HERB004013,HBIN016505
HERB004013,HBIN017408
HERB004013,HBIN018048
HERB004013,HBIN018781
HERB004013,HBIN019298
HERB004013,HBIN019921
HERB004013,HBIN021166
HERB004013,HBIN023184
HERB004013,HBIN023404
HERB004013,HBIN024107
HERB004013,HBIN026067
HERB004013,HBIN027030
HERB004013,HBIN029328
HERB004013,HBIN029831
HERB004013,HBIN031032
HERB004013,HBIN031102
HERB004013,HBIN031753
HERB004013,HBIN034094
HERB004013,HBIN034281
HERB004013,HBIN034384
HERB004013,HBIN035415
HERB004013,HBIN035849
HERB004013,HBIN037768
HERB004013,HBIN037936
HERB004013,HBIN037940
HERB004013,HBIN038026
HERB004013,HBIN038387
HERB004013,HBIN038388
HERB004013,HBIN038494
HERB004013,HBIN038606
HERB004013,HBIN038627
HERB004013,HBIN038628
HERB004013,HBIN038629
HERB004013,HBIN039419
HERB004013,HBIN041495
HERB004013,HBIN041726
HERB004013,HBIN043221
HERB004013,HBIN043228
HERB004013,HBIN044158
HERB004013,HBIN045115
HERB004013,HBIN047242
HERB004013,HBIN047738
HERB004013,HBIN048349
HERB004013,HBIN048464
HERB004938,HBIN002102
HERB004938,HBIN014213
HERB004938,HBIN014230
HERB004938,HBIN014685
HERB004938,HBIN014935
HERB004938,HBIN015193
HERB004938,HBIN015704
HERB004938,HBIN015728
HERB004938,HBIN017056
HERB004938,HBIN018110
HERB004938,HBIN018278
HERB004938,HBIN018385
HERB004938,HBIN019475
HERB004938,HBIN019786
HERB004938,HBIN019801
HERB004938,HBIN019825
HERB004938,HBIN020406
HERB004938,HBIN021150
HERB004938,HBIN021739
HERB004938,HBIN021796
HERB004938,HBIN022834
HERB004938,HBIN023338
HERB004938,HBIN024164
HERB004938,HBIN024535
HERB004938,HBIN025024
HERB004938,HBIN025553
HERB004938,HBIN026067
HERB004938,HBIN027103
HERB004938,HBIN027927
HERB004938,HBIN028076
HERB004938,HBIN028546
HERB004938,HBIN028550
HERB004938,HBIN028769
HERB004938,HBIN029443
HERB004938,HBIN030515
HERB004938,HBIN030752
HERB004938,HBIN031378
HERB004938,HBIN031722
HERB004938,HBIN032456
HERB004938,HBIN032992
HERB004938,HBIN033218
HERB004938,HBIN033245
HERB004938,HBIN033265
HERB004938,HBIN033432
HERB004938,HBIN033583
HERB004938,HBIN033609
HERB004938,HBIN033890
HERB004938,HBIN034284
HERB004938,HBIN034749
HERB004938,HBIN035214
HERB004938,HBIN036050
HERB004938,HBIN036067
HERB004938,HBIN036162
HERB004938,HBIN036308
HERB004938,HBIN036819
HERB004938,HBIN038393
HERB004938,HBIN038485
HERB004938,HBIN039092
HERB004938,HBIN039396
HERB004938,HBIN040086
HERB004938,HBIN040811
HERB004938,HBIN041273
HERB004938,HBIN041334
HERB004938,HBIN042862
HERB004938,HBIN044918
HERB004938,HBIN045673
HERB004938,HBIN045975
HERB004938,HBIN045980
HERB004938,HBIN046359
HERB004938,HBIN046387
HERB004938,HBIN046736
HERB004950,HBIN000292
HERB004950,HBIN001307
HERB004950,HBIN002123
HERB004950,HBIN002554
HERB004950,HBIN003405
HERB004950,HBIN003599
HERB004950,HBIN004817
HERB004950,HBIN004821
HERB004950,HBIN006072
HERB004950,HBIN006083
HERB004950,HBIN006127
HERB004950,HBIN007288
HERB004950,HBIN009957
HERB004950,HBIN010390
HERB004950,HBIN010599
HERB004950,HBIN011491
HERB004950,HBIN012481
HERB004950,HBIN013056
HERB004950,HBIN014367
HERB004950,HBIN015368
HERB004950,HBIN015470
HERB004950,HBIN015475
HERB004950,HBIN015476
HERB004950,HBIN015547
HERB004950,HBIN015704
HERB004950,HBIN016080
HERB004950,HBIN016691
HERB004950,HBIN016827
HERB004950,HBIN017024
HERB004950,HBIN017056
HERB004950,HBIN017440
HERB004950,HBIN017652
HERB004950,HBIN017866
HERB004950,HBIN018012
HERB004950,HBIN018094
HERB004950,HBIN018278
HERB004950,HBIN018382
HERB004950,HBIN018951
HERB004950,HBIN019111
HERB004950,HBIN019233
HERB004950,HBIN019252
HERB004950,HBIN019298
HERB004950,HBIN019321
HERB004950,HBIN019643
HERB004950,HBIN019652
HERB004950,HBIN019657
HERB004950,HBIN019659
HERB004950,HBIN019735
HERB004950,HBIN020363
HERB004950,HBIN020655
HERB004950,HBIN020720
HERB004950,HBIN020724
HERB004950,HBIN021422
HERB004950,HBIN021482
HERB004950,HBIN021486
HERB004950,HBIN021604
HERB004950,HBIN021608
HERB004950,HBIN021985
HERB004950,HBIN021986
HERB004950,HBIN021990
HERB004950,HBIN022393
HERB004950,HBIN022815
HERB004950,HBIN022834
HERB004950,HBIN023058
HERB004950,HBIN023623
HERB004950,HBIN024112
HERB004950,HBIN024306
HERB004950,HBIN024567
HERB004950,HBIN024875
HERB004950,HBIN024930
HERB004950,HBIN024967
HERB004950,HBIN024976
HERB004950,HBIN024978
HERB004950,HBIN025313
HERB004950,HBIN025944
HERB004950,HBIN025963
HERB004950,HBIN025965
HERB004950,HBIN026067
HERB004950,HBIN026072
HERB004950,HBIN026151
HERB004950,HBIN026603
HERB004950,HBIN026610
HERB004950,HBIN026843
HERB004950,HBIN026881
HERB004950,HBIN026938
HERB004950,HBIN027030
HERB004950,HBIN027166
HERB004950,HBIN027475
HERB004950,HBIN028044
HERB004950,HBIN028076
HERB004950,HBIN028429
HERB004950,HBIN028546
HERB004950,HBIN029260
HERB004950,HBIN029313
HERB004950,HBIN029443
HERB004950,HBIN029720
HERB004950,HBIN029831
HERB004950,HBIN030411
HERB004950,HBIN030515
HERB004950,HBIN030728
HERB004950,HBIN031114
HERB004950,HBIN031378
HERB004950,HBIN032583
HERB004950,HBIN032754
HERB004950,HBIN032873
HERB004950,HBIN032989
HERB004950,HBIN033218
HERB004950,HBIN033265
HERB004950,HBIN033330
HERB004950,HBIN033338
HERB004950,HBIN033476
