2	2	Interactome3D
10	10	Interactome3D
12	12	Interactome3D
7534	15	Interactome3D
16	16	Interactome3D
10174	25	Interactome3D
23114	25	Interactome3D
26	26	Interactome3D
1956	27	Interactome3D
2064	27	Interactome3D
2065	27	Interactome3D
2322	27	Interactome3D
2534	27	Interactome3D
3055	27	Interactome3D
3815	27	Interactome3D
4233	27	Interactome3D
4690	27	Interactome3D
5295	27	Interactome3D
5335	27	Interactome3D
6714	27	Interactome3D
6774	27	Interactome3D
8470	27	Interactome3D
28	28	Interactome3D
30	30	Interactome3D
31	31	Interactome3D
672	31	Interactome3D
32	32	Interactome3D
34	34	Interactome3D
35	35	Interactome3D
36	36	Interactome3D
37	37	Interactome3D
38	38	Interactome3D
38	39	Interactome3D
39	39	Interactome3D
43	43	Interactome3D
47	47	Interactome3D
52	52	Interactome3D
55	55	Interactome3D
2638	58	Interactome3D
2934	58	Interactome3D
60	60	Interactome3D
86	60	Interactome3D
88	60	Interactome3D
832	60	Interactome3D
1072	60	Interactome3D
2934	60	Interactome3D
5216	60	Interactome3D
5792	60	Interactome3D
6597	60	Interactome3D
6712	60	Interactome3D
8407	60	Interactome3D
10486	60	Interactome3D
823	70	Interactome3D
1072	70	Interactome3D
7168	70	Interactome3D
60	71	Interactome3D
71	71	Interactome3D
1072	71	Interactome3D
5217	71	Interactome3D
7408	71	Interactome3D
8976	71	Interactome3D
10486	71	Interactome3D
11034	71	Interactome3D
81	81	Interactome3D
87	87	Interactome3D
87	88	Interactome3D
88	88	Interactome3D
823	88	Interactome3D
60	89	Interactome3D
81	89	Interactome3D
87	89	Interactome3D
89	89	Interactome3D
90	90	Interactome3D
2280	90	Interactome3D
2281	90	Interactome3D
7046	90	Interactome3D
7048	90	Interactome3D
3326	91	Interactome3D
5567	91	Interactome3D
650	92	Interactome3D
655	92	Interactome3D
650	93	Interactome3D
2660	93	Interactome3D
3624	93	Interactome3D
10220	93	Interactome3D
95	95	Interactome3D
103	103	Interactome3D
104	104	Interactome3D
5610	104	Interactome3D
2778	108	Interactome3D
116	117	Interactome3D
124	124	Interactome3D
125	125	Interactome3D
126	126	Interactome3D
127	127	Interactome3D
128	128	Interactome3D
131	131	Interactome3D
132	132	Interactome3D
10266	133	Interactome3D
10267	133	Interactome3D
134	134	Interactome3D
135	134	Interactome3D
153	134	Interactome3D
154	134	Interactome3D
1812	134	Interactome3D
2771	134	Interactome3D
7253	134	Interactome3D
135	135	Interactome3D
1268	135	Interactome3D
1813	135	Interactome3D
2861	135	Interactome3D
135	136	Interactome3D
142	142	Interactome3D
146	146	Interactome3D
146	147	Interactome3D
147	147	Interactome3D
148	147	Interactome3D
1815	147	Interactome3D
57007	147	Interactome3D
148	148	Interactome3D
2861	148	Interactome3D
57007	148	Interactome3D
150	150	Interactome3D
150	152	Interactome3D
152	152	Interactome3D
154	154	Interactome3D
2861	154	Interactome3D
2064	156	Interactome3D
156	157	Interactome3D
158	158	Interactome3D
159	159	Interactome3D
375	162	Interactome3D
163	163	Interactome3D
408	163	Interactome3D
2060	163	Interactome3D
164	164	Interactome3D
166	166	Interactome3D
7088	166	Interactome3D
7090	166	Interactome3D
3106	174	Interactome3D
175	175	Interactome3D
177	177	Interactome3D
6271	177	Interactome3D
6275	177	Interactome3D
6277	177	Interactome3D
6285	177	Interactome3D
6286	177	Interactome3D
4851	182	Interactome3D
5972	183	Interactome3D
183	185	Interactome3D
624	185	Interactome3D
183	186	Interactome3D
186	186	Interactome3D
185	187	Interactome3D
189	189	Interactome3D
2101	190	Interactome3D
2494	190	Interactome3D
5468	190	Interactome3D
6095	190	Interactome3D
191	191	Interactome3D
405	196	Interactome3D
5527	202	Interactome3D
203	203	Interactome3D
205	205	Interactome3D
699	207	Interactome3D
3326	207	Interactome3D
3551	207	Interactome3D
5894	207	Interactome3D
6198	207	Interactome3D
6714	207	Interactome3D
6790	207	Interactome3D
207	208	Interactome3D
208	208	Interactome3D
890	208	Interactome3D
3326	208	Interactome3D
210	210	Interactome3D
211	211	Interactome3D
212	212	Interactome3D
213	213	Interactome3D
215	215	Interactome3D
5825	215	Interactome3D
216	216	Interactome3D
216	217	Interactome3D
217	217	Interactome3D
218	218	Interactome3D
220	220	Interactome3D
223	223	Interactome3D
224	224	Interactome3D
215	225	Interactome3D
225	225	Interactome3D
5825	225	Interactome3D
226	226	Interactome3D
229	229	Interactome3D
226	230	Interactome3D
230	230	Interactome3D
231	231	Interactome3D
441282	231	Interactome3D
3105	238	Interactome3D
3106	238	Interactome3D
10817	238	Interactome3D
239	239	Interactome3D
241	241	Interactome3D
247	247	Interactome3D
250	250	Interactome3D
259	259	Interactome3D
262	262	Interactome3D
7316	267	Interactome3D
7321	267	Interactome3D
7322	267	Interactome3D
7323	267	Interactome3D
7326	267	Interactome3D
7327	267	Interactome3D
7334	267	Interactome3D
7415	267	Interactome3D
7917	267	Interactome3D
9709	267	Interactome3D
29089	267	Interactome3D
11140	269	Interactome3D
270	270	Interactome3D
270	271	Interactome3D
271	271	Interactome3D
3105	271	Interactome3D
270	272	Interactome3D
273	273	Interactome3D
274	273	Interactome3D
274	274	Interactome3D
275	275	Interactome3D
276	276	Interactome3D
283	283	Interactome3D
284	284	Interactome3D
7010	284	Interactome3D
285	285	Interactome3D
286	286	Interactome3D
6710	286	Interactome3D
287	287	Interactome3D
1756	287	Interactome3D
6711	287	Interactome3D
11337	287	Interactome3D
23243	287	Interactome3D
288	288	Interactome3D
355	288	Interactome3D
183	290	Interactome3D
290	290	Interactome3D
302	302	Interactome3D
308	308	Interactome3D
312	312	Interactome3D
313	313	Interactome3D
316	316	Interactome3D
317	317	Interactome3D
318	318	Interactome3D
320	320	Interactome3D
351	320	Interactome3D
8573	320	Interactome3D
321	321	Interactome3D
334	321	Interactome3D
351	321	Interactome3D
322	322	Interactome3D
351	323	Interactome3D
324	324	Interactome3D
3728	324	Interactome3D
8312	324	Interactome3D
9077	324	Interactome3D
325	325	Interactome3D
326	326	Interactome3D
327	327	Interactome3D
328	328	Interactome3D
7295	328	Interactome3D
329	329	Interactome3D
842	329	Interactome3D
7186	329	Interactome3D
7314	329	Interactome3D
7316	329	Interactome3D
7320	329	Interactome3D
7321	329	Interactome3D
7322	329	Interactome3D
7323	329	Interactome3D
7334	329	Interactome3D
8767	329	Interactome3D
330	330	Interactome3D
842	330	Interactome3D
7185	330	Interactome3D
7186	330	Interactome3D
7321	330	Interactome3D
7322	330	Interactome3D
7323	330	Interactome3D
7334	330	Interactome3D
8767	330	Interactome3D
331	331	Interactome3D
332	331	Interactome3D
836	331	Interactome3D
840	331	Interactome3D
842	331	Interactome3D
7316	331	Interactome3D
7321	331	Interactome3D
7322	331	Interactome3D
7323	331	Interactome3D
7324	331	Interactome3D
7334	331	Interactome3D
332	332	Interactome3D
333	333	Interactome3D
351	333	Interactome3D
322	334	Interactome3D
333	334	Interactome3D
334	334	Interactome3D
351	334	Interactome3D
5646	334	Interactome3D
9546	334	Interactome3D
10307	334	Interactome3D
335	335	Interactome3D
3845	335	Interactome3D
336	336	Interactome3D
341	341	Interactome3D
348	348	Interactome3D
350	350	Interactome3D
3949	350	Interactome3D
5340	350	Interactome3D
322	351	Interactome3D
351	351	Interactome3D
2160	351	Interactome3D
9179	351	Interactome3D
10307	351	Interactome3D
27242	351	Interactome3D
353	353	Interactome3D
12	354	Interactome3D
355	355	Interactome3D
801	355	Interactome3D
355	356	Interactome3D
356	356	Interactome3D
8771	356	Interactome3D
357	357	Interactome3D
6093	357	Interactome3D
358	358	Interactome3D
359	359	Interactome3D
360	360	Interactome3D
361	361	Interactome3D
362	362	Interactome3D
358	363	Interactome3D
364	364	Interactome3D
367	367	Interactome3D
2908	367	Interactome3D
4306	367	Interactome3D
9611	367	Interactome3D
369	369	Interactome3D
3265	369	Interactome3D
3845	369	Interactome3D
6237	369	Interactome3D
373	373	Interactome3D
7314	373	Interactome3D
375	375	Interactome3D
9043	375	Interactome3D
23647	375	Interactome3D
23647	377	Interactome3D
27236	377	Interactome3D
381	381	Interactome3D
23647	381	Interactome3D
373	382	Interactome3D
382	382	Interactome3D
9043	382	Interactome3D
9265	382	Interactome3D
23647	382	Interactome3D
383	383	Interactome3D
383	384	Interactome3D
384	384	Interactome3D
387	387	Interactome3D
396	387	Interactome3D
1729	387	Interactome3D
3845	387	Interactome3D
5910	387	Interactome3D
7409	387	Interactome3D
9826	387	Interactome3D
11113	387	Interactome3D
23263	387	Interactome3D
396	388	Interactome3D
1729	388	Interactome3D
9826	388	Interactome3D
11113	388	Interactome3D
389	389	Interactome3D
1729	389	Interactome3D
11113	389	Interactome3D
5364	390	Interactome3D
7529	390	Interactome3D
23654	390	Interactome3D
57449	390	Interactome3D
396	391	Interactome3D
387	392	Interactome3D
389	392	Interactome3D
998	392	Interactome3D
389	396	Interactome3D
396	396	Interactome3D
4804	396	Interactome3D
5880	396	Interactome3D
5880	397	Interactome3D
388	398	Interactome3D
391	398	Interactome3D
396	399	Interactome3D
57449	399	Interactome3D
401	401	Interactome3D
5147	402	Interactome3D
5147	403	Interactome3D
405	405	Interactome3D
57491	405	Interactome3D
407	408	Interactome3D
409	408	Interactome3D
4923	408	Interactome3D
410	410	Interactome3D
412	412	Interactome3D
427	427	Interactome3D
6925	429	Interactome3D
6929	429	Interactome3D
432	432	Interactome3D
435	435	Interactome3D
438	438	Interactome3D
439	439	Interactome3D
443	443	Interactome3D
2159	444	Interactome3D
445	445	Interactome3D
462	462	Interactome3D
2147	462	Interactome3D
2158	462	Interactome3D
2159	462	Interactome3D
4488	463	Interactome3D
5451	463	Interactome3D
11281	463	Interactome3D
466	466	Interactome3D
1385	466	Interactome3D
1386	466	Interactome3D
3725	466	Interactome3D
467	467	Interactome3D
1386	467	Interactome3D
2355	467	Interactome3D
3725	467	Interactome3D
3726	467	Interactome3D
