64102	6676	HuRI
64102	23786	HuRI
64102	665	HuRI
64102	945	HuRI
64102	11148	HuRI
64102	200232	HuRI
64102	60314	HuRI
64102	2209	HuRI
64102	90993	HuRI
64102	84283	HuRI
64102	124975	HuRI
64102	200894	HuRI
64102	664	HuRI
64102	57463	HuRI
64102	113277	HuRI
64102	115653	HuRI
8813	4223	HuRI
57147	11345	HuRI
57147	25828	HuRI
57147	23710	HuRI
57147	9747	HuRI
55732	283208	HuRI
2519	7481	HuRI
2519	30000	HuRI
2519	3198	HuRI
2519	57532	HuRI
2519	5300	HuRI
2519	83606	HuRI
2519	353135	HuRI
2519	353131	HuRI
2519	199834	HuRI
2519	375567	HuRI
2519	387266	HuRI
2519	353132	HuRI
2519	440021	HuRI
2519	83755	HuRI
2519	386677	HuRI
4800	4802	HuRI
4800	1457	HuRI
4800	4801	HuRI
4800	6310	HuRI
4800	84872	HuRI
4800	7716	HuRI
4800	5451	HuRI
4800	23126	HuRI
4800	51631	HuRI
4800	1857	HuRI
4800	2957	HuRI
4800	54971	HuRI
4800	54870	HuRI
4800	59286	HuRI
4800	9747	HuRI
57185	63905	HuRI
57185	973	HuRI
57185	81853	HuRI
57185	1896	HuRI
57185	203547	HuRI
57185	493869	HuRI
57185	56947	HuRI
57185	527	HuRI
57185	2702	HuRI
22875	10430	HuRI
22875	7009	HuRI
889	3093	HuRI
5893	5893	HuRI
5893	4222	HuRI
5893	4802	HuRI
5893	3839	HuRI
5893	4223	HuRI
5893	1263	HuRI
5893	5079	HuRI
5893	3841	HuRI
5893	55802	HuRI
5893	201299	HuRI
572	88	HuRI
572	3881	HuRI
572	599	HuRI
572	598	HuRI
51056	7629	HuRI
51056	22924	HuRI
51056	23468	HuRI
51056	8503	HuRI
51056	11335	HuRI
51056	120379	HuRI
51056	7391	HuRI
51056	7791	HuRI
51056	54971	HuRI
26	84872	HuRI
26	23126	HuRI
26	7073	HuRI
26	55093	HuRI
26	8928	HuRI
26	30012	HuRI
26	348093	HuRI
26	9802	HuRI
26	337879	HuRI
23072	11023	HuRI
8379	240	HuRI
8379	55885	HuRI
8379	9474	HuRI
8379	27238	HuRI
8379	84708	HuRI
8379	10529	HuRI
8379	10464	HuRI
8379	64147	HuRI
8379	51760	HuRI
8379	11140	HuRI
8379	79165	HuRI
